"1","aṃśaka","aṃśaka","1-2","分母","Denominator",
"2","aṃśumat","aṃśumat","3con","繊維状の、フィラメントが豊富、放射性、発光性、尖った、鋭い","fibrous, rich in filaments, radiant, luminous, pointed",
"3","aṃsala","aṃsala","1-2","光沢がある、強い","lusty, strong",
"4","aṃhu","aṃhu","4u","狭い","narrow",
"5","aṛṇin","aṛṇin","4u","借金がない","free from debt",
"6","akathita","akathita","1-2","語られない","untold",
"7","akaniṣṭha","akaniṣṭha","1-2","劣る","Inferior",
"8","akampya","akampya","1-2","揺るぎない","Unshakable",
"9","akarmaka","akarmaka","1-2","自動の","intransitive",
"10","akarman","akarman","3n","動作していない、異常な、非効率な","wicked, not working, not performing good works, inefficient  ",
"11","akāma","akāma","1-2","無欲な、意図していない、消極的な","without desire, unintentional, reluctant ",
"12","akāraṇa","akāraṇa","1-2","理由もなく","for no reason",
"13","akārya","akārya","1-2","動作不能","Inoperable",
"14","akāla","akāla","1-2","飢饉","famine",
"15","akiñcana","akiñcana","1-2","何もなしで、完全に貧しく、無関心","without anything, utterly destitute, disinterested",
"16","akīrtikara","akīrtikara","1-2","恥ずべき","Disgraceful",
"17","akuśala","akuśala","1-2","非効率的な","Inefficient",
"18","akūpāra","akūpāra","1-2","無制限な","unbounded",
"19","akṛta","akṛta","1-2","やり直し","Undone",
"20","akṛtajña","akṛtajña","3s","恩知らず","ungrateful",
"21","akṛtārtha","akṛtārtha","1-2","満たされていない","Unfulfilled",
"22","akṛtya","akṛtya","1-2","非アクティブ","Inactivity",
"23","akṛṣṭa","akṛṣṭa","1-2","魅力的でない","unattractive",
"24","akeśa","akeśa","1-2","禿の、坊主の","hairless",
"25","akta","akta","1-2","10月","Oct",
"26","akrūra","akrūra","1-2","残酷ではない、穏やな","not cruel, gentle",
"27","aklānta","aklānta","1-2","疲れ知らず","tireless",
"28","akliṣṭa","akliṣṭa","1-2","単純な","Uncomplicated",
"29","akṣata","akṣata","1-2","負傷していない、壊れていない、全体の、全ての、押しつぶされていない","uninjured, unbroken, whole, not crushed",
"30","akṣama","akṣama","1-2","無効にする","disable",
"31","akṣamya","akṣamya","1-2","許せない","Unforgivable",
"32","akṣaya","akṣaya","1-2","無尽蔵","Inexhaustible",
"33","akṣayya","akṣayya","1-2","無尽蔵","Inexhaustible",
"34","akṣara","akṣara","1-2","手紙","Letters",
"35","akṣāra","akṣāra","1-2","アルファベット","Alphabet",
"36","akṣita","akṣita","1-2","腐敗していない、負傷していない","undecayed, uninjured, undecaying",
