"noun_no","dictionary_stem","stem","gender","noun_type","japanese_translation","english_translation","deponent_singular","deponent_plural","location_name"
"1","ἄνθρωπος","ἄνθρωπ","Masculine","2","人間","person","0","0","0"
"18","Αἰγυπτία","Αἰγυπτί","Feminine","1a","エジプト","Egypt","0","1","1"
"19","Θρᾷσσα","Θρᾷσσ","Feminine","1a","トラッサ","Thrassa","0","1","1"
"20","Θρᾷττα","Θρᾷττ","Feminine","1a","スラクッタ","Thrxtta","0","1","1"
"21","Θρῇσσα","Θρῇσσ","Feminine","1a","トリッサ","Thrissa","0","1","1"
"22","Κιμμερία","Κιμμερί","Feminine","1a","キンメリア","Cimmeria","0","1","1"
"23","Κρονοθήκη","Κρονοθήκ","Feminine","1e","クロノグラフ","Chronograph","0","1","1"
"24","Λάκαινα","Λάκαιν","Feminine","1a","ラカイナ","Lacaina","0","1","1"
"25","Λάμια","Λάμι","Feminine","1a","ラミア","Lamia","0","1","1"
"26","Μηλία","Μηλί","Feminine","1a","ミリア","Milía","0","1","1"
"27","Μοῖσα","Μοῖσ","Feminine","1a","モイッサ","Moissa","0","1","1"
"28","Ποτείδαια","Ποτείδαι","Feminine","1a","ポティデア","Potidea","0","1","1"
"29","Πυθία","Πυθί","Feminine","1a","パイソンネス","Pythoness","0","1","1"
"30","Σκύθαινα","Σκύθαιν","Feminine","1a","スキタイ","Scythia","0","1","1"
"31","Τιτανομαχία","Τιτανομαχί","Feminine","1a","チタノマキア","Titanomachia","0","1","1"
"32","αἰκία","αἰκί","Feminine","1a","生活","life","0","0","0"
"33","αἰτία","αἰτί","Feminine","1a","原因","cause","0","0","0"
"34","αἰτιατική","αἰτιατικ","Feminine","1e","対格","accusative","0","0","0"
"35","αἰχμή","αἰχμ","Feminine","1e","ピーク","peak","0","0","0"
"36","αἰώρα","αἰώρ","Feminine","1a","ハンモック","hammock","0","0","0"
"37","αἱμασιά","αἱμασι","Feminine","1a","流血","bloodbath","0","0","0"
"38","αἴγλη","αἴγλ","Feminine","1e","グラマー","glamor","0","0","0"
"39","αἴθουσα","αἴθουσ","Feminine","1a","部屋","room","0","0","0"
"40","αἴθυια","αἴθυι","Feminine","1a","愛","love","0","0","0"
"41","αἶα","αἶ","Feminine","1a","土地、国家、地球、地面、大地","and, country, earth","0","0","0"
"42","αἶρα","αἶρ","Feminine","1a","風","wind","0","0","0"
"43","αἶσα","αἶσ","Feminine","1a","運命、宿命、分け前、一口","destiny, fate, portion, morsel","0","0","0"
"44","αὐγή","αὐγ","Feminine","1e","夜明け","dawn","0","0","0"
"45","αὐδή","αὐδ","Feminine","1e","人間の声、会話、音、報告、口座、神託、歌、頌歌","human voice, speech, sound, report, account, oracle, song, ode ","0","0","0"
"46","αὐλή","αὐλ","Feminine","1e","中庭","courtyard","0","0","0"
"47","αὐλοθήκη","αὐλοθήκ","Feminine","1e","前庭","vestibule","0","0","0"
"48","αὐτάρκεια","αὐτάρκει","Feminine","1a","自給自足","self-sufficiency","0","0","0"
"49","αὐτοεπιθυμία","αὐτοεπιθυμί","Feminine","1a","自己欲求","self desire","0","0","0"
"50","αὐτονομία","αὐτονομί","Feminine","1a","自律性","autonomy","0","0","0"
"51","αὐτοψία","αὐτοψί","Feminine","1a","剖検","autopsy","0","0","0"
"52","αὔδα","αὔδ","Feminine","1a","オーダ","auda","0","0","0"
"53","αὔρα","αὔρ","Feminine","1a","オーラ","aura","0","0","0"
"54","βέργαι","βέργ","Feminine","1a","はしけ","barge","1","0","0"
"55","βία","βί","Feminine","1a","暴力","violence","0","0","0"
"56","βίη","βί","Feminine","1e","生活","life","0","0","0"
"57","βίσβη","βίσβ","Feminine","1e","剪定ばさみ、はさみ","pruning hook, billhook","0","0","0"
"58","βαίεσσα","βαίεσσ","Feminine","1a","ぶどう","grapes","0","0","0"
"59","βαίτη","βαίτ","Feminine","1e","ウェイター","waiter","0","0","0"
"60","βακτηρία","βακτηρί","Feminine","1a","バクテリア","bacteria","0","0","0"
"61","βακχεία","βακχεί","Feminine","1a","バッカナリアン","bacchanalian","0","0","0"
"62","βαλανάγρα","βαλανάγρ","Feminine","1a","バラナグラ","valanagra","0","0","0"
"63","βαλλωτή","βαλλωτ","Feminine","1e","フォレスター","forester","0","0","0"
"64","βαλσαμίνη","βαλσαμίν","Feminine","1e","バルサミン","balsamine","0","0","0"
"65","βαρακίνη","βαρακίν","Feminine","1e","バラシン","Varacin","0","0","0"
"66","βαρβάρα","βαρβάρ","Feminine","1a","バーバラ","Barbara","0","0","0"
"67","βαρεῖα","βαρεῖ","Feminine","1a","重さ","heaviness","0","0","0"
"68","βαρυθυμία","βαρυθυμί","Feminine","1a","退屈","boredom","0","0","0"
"69","βασίλεια","βασίλει","Feminine","1a","治世","reign","0","0","0"
"70","βασίλισσα","βασίλισσ","Feminine","1a","女王","queen","0","0","0"
"71","βασιλεία","βασιλεί","Feminine","1a","治世","reign","0","0","0"
"72","βασσάρα","βασσάρ","Feminine","1a","子なし","bastard","0","0","0"
"73","βασταγή","βασταγ","Feminine","1e","苦難","hardship","0","0","0"
"74","βατιάκη","βατιάκ","Feminine","1e","ヴァティアキ","vatiaki","0","0","0"
"75","βαττολογία","βαττολογί","Feminine","1a","ワット数","wattage","0","0","0"
"76","βαυκάλη","βαυκάλ","Feminine","1e","バウカリ","baukali","0","0","0"
"77","βαφή","βαφ","Feminine","1e","ペイント","paint","0","0","0"
"78","βδέλλα","βδέλλ","Feminine","1a","リーチ","leech","0","0","0"
"79","βδελυγμία","βδελυγμί","Feminine","1a","憎悪","abomination","0","0","0"
"80","βελοθήκη","βελοθήκ","Feminine","1e","震える","quiver","0","0","0"
"81","βελονοθήκη","βελονοθήκ","Feminine","1e","ニードルケース","needle case","0","0","0"
"82","βελοσφενδόνη","βελοσφενδόν","Feminine","1e","ベロスフェンドン","velosphendone","0","0","0"
"83","βελόνη","βελόν","Feminine","1e","針","needle","0","0","0"
"84","βεττονική","βεττονικ","Feminine","1e","コンクリート","concrete","0","0","0"
"85","βιβλιοθήκη","βιβλιοθήκ","Feminine","1e","図書館","library","0","0","0"
"86","βλάβη","βλάβ","Feminine","1e","ダメージ","damage","0","0","0"
