"2","a-","中から","from"
"3","ab-","中から","from"
"4","abs-","中から","from"
"5","ad-","中に、向かって","to"
"10","ante-","前に、後ろに","before, behind"
"12","bi-","二つの","double"
"15","circum-","周りに","around"
"16","con-","共に、一緒に","with"
"17","de-","下から、離れて、別れて","down"
"18","di-","ない","not"
"19","dis-","ない","not"
"21","e-","外から、外へ","out of, outside"
"22","ec-","外から、外へ","out of, outside"
"23","ex-","外から、外へ","out of, outside"
"26","i-","中に","in, into"
"27","in-","中に","in, into"
"28","inter-","中へ","in, into"
"29","ne-","ない","not"
"30","ob-","ない","not"
"32","per-","非常に","very"
"33","po-","通って、通じて","through"
"34","por-","通って、通じて","through"
"35","prae-","前に、前で","before, in front of"
"36","praeter-","超えて、によって","beyond, by"
"37","pre-","前に","in front of"
"38","pro-","前に","in front of"
"39","prod-","前に","in front of"
"40","pseudo-","偽の","false"
"45","re-","また、再び","again"
"46","red-","また、再び","again"
"47","se-","離れて、脇に、離れて","apart, aside, away"
"48","sed-","離れて、脇に、離れて","apart, aside, away"
"49","sem-","半、半分、部分的に","half, partially"
"50","semi-","半、半分、部分的に","half, partially"
"52","sub-","下に、不十分な、下へ","under, insufficient	"
"53","super-","上に、過剰に","above, excess"
"56","trans-","横切って、超えて、通って","across, beyond, through"
"62","post-","後ろに、後で","after, back"
"63","super-","超えて、上に","over, above"
