"1","futuere","futu","futuere","futu","futūtus","性交する","to have sexual relations with (woman)","3","0","0","0","0","0"
"2","irrumāre","irrum","irrumāre","irrumāv","irrumātus","吸う","to make suck","1","0","0","0","0","0"
"3","fellāre","fell","fellāre","fellāv","fellātus","吸う","to suck","1","0","0","0","0","0"
"4","lingere","ling","lingere","līnx","līnctum","舐める","to lick,to lick up","3","0","0","0","0","0"
"5","lambere","lamb","lambere","lamb","lambitum","舐める","to lick, to suck up, to wash","3","0","0","0","0","0"
"6","cēvēre","cēve","cēvēre","cēvu","cēvitus","お尻を動かす","move my haunches","2","0","0","0","0","0"
"7","masturbārī","masturb","masturbārī","-","masturbātus","自慰する","to masturbate","3","1","0","0","0","0"
"8","agitāre","agit","agitāre","agitāv","agitātus","運転する、移動する、推進する","to drive, drive up, move, impel animals","1","0","0","0","0","0"
"9","amāre","am","amāre","amāv","amātus","愛する、好む","to love, to like, to admire","1","0","0","0","0","0"
"10","apellāre","appell","apellāre","apellāv","apellātus","呼ぶ、住む、名づける","call, address, name","1","0","0","0","0","0"
"11","celebrāre","celebr","celebrāre","celebrāv","celebrātus","祝う","to celebrate","1","0","0","0","0","0"
"12","certāre","cert","certāre","certāv","certātus","戦う、競争する、争う","decide by contest, fight, compete, vie","1","0","0","0","0","0"
"13","cōgitāre","cōgit","cōgitāre","cōgitāv","cōgitātus","考える、反映する、、熟考する、不思議に思う、想像する","to think, ponder, wonder, imagine, reflect","1","0","0","0","0","0"
"14","comparāre","compar","comparāre","comparāv","comparātus","準備する、提供する、比較する、手配する、熱心に準備する、まとめる","get ready, provide, compare,to arrange, to prepare eagerly, to put together","1","0","0","0","0","0"
"15","cōnstāre","cōnst","cōnstāre","cōnstitī","cōnstātus","同意する、賛成する、確率する","agree, constat, it is established that","1","0","0","0","0","0"
"16","creāre","cre","creāre","creāv","creātus","作る、作り出す、選ぶ","produce, create, elect, choose","1","0","0","0","0","0"
"17","cūrāre","cūr","cūrāre","cūrāv","cūrātus","見守る、世話をする","watch over, look after, care for","1","0","0","0","0","0"
"18","damnāre","damn","damnāre","damnāv","damnātus","非難する","to condemn","1","0","0","0","0","0"
"19","dēsīderāre","dēsīder","dēsīderāre","dēsīderāv","dēsīderātus","憧れる、欲望する","long for, desire, desire greatly","1","0","0","0","0","0"
"20","dare","d","dare","ded","datus","与える、提示する","give, present","1","0","0","0","0","0"
"21","dōnāre","dōn","dōnāre","dōnāv","dōnātus","贈る、差し出す、授ける、授ける、許す、赦す、貢献する、提示する、あげる","to give, to present, to bestow, to grant, to forgive, to pardon","1","0","0","0","0","0"
"22","dubitāre","dubit","dubitāre","dubitāv","dubitātus","躊躇する、疑う","hesitate, doubt","1","0","0","0","0","0"
"23","errāre","err","errāre","errāv","errātus","誤る、間違う、迷う、さまよう"," wander, go astray, err, be wrong, wander","1","0","0","0","0","0"
"24","exīstimāre","exīstim","exīstimāre","exīstimāv","exīstimātus","考える、信じる","think, believe","1","0","0","0","0","0"
"25","exspectāre","exspect","exspectāre","exspectāv","exspectātus","見る、待つ、期待する","await, watch, wait, expect","1","0","0","0","0","0"
"26","fugāre","fug","fugāre","fugāv","fugātus","飛行する、追跡する","put to flight, chase","1","0","0","0","0","0"
"27","imperāre","imper","imperāre","imperāv","imperātus","命令する、制御する","command, control, rule","1","0","0","0","0","0"
"28","indicāre","indic","indicāre","indicāv","indicātus","指摘する、示す、知らせる、宣言する","point out, show, make known, declare","1","0","0","0","0","0"
"29","interrogāre","interrog","interrogāre","interrogāv","interrogātus","聞く、質問する、尋ねる","put a question to, to ask","1","0","0","0","0","0"
"30","intrāre","intr","intrāre","intrāv","intrātus","入る、進入する、侵入する、攻める、攻撃する、越える、超す、横断する、横切る、突き刺す","to enter, to go into, to penetrate, to assault, to attack, to cross, to go beyond, to exceed, to stab","1","0","0","0","0","0"
"31","iūdicāre","iūdic","iūdicāre","iūdicāv","iūdicātus","判断する、決定する","judge, decide","1","0","0","0","0","0"
"32","iūrāre","iūr","iūrāre","iūrāv","iūrātus","誓いを立てる、誓う","take an oath, swear","1","0","0","0","0","0"
"33","iuvāre","iuv","iuvāre","iūvī","iūtus","助ける、援助する、手伝う、補助する、喜ぶ、喜んでいる","help, aid, assist, please, delight","1","0","0","0","0","0"
"34","labōrāre","labōr","labōrāre","labōrāv","labōrātus","働く、困っている、苦しんでいる","work hard, toil, work, be in trouble or distress","1","0","0","0","0","0"
"35","laudāre","laud","laudāre","laudāv","laudātus","称える、讃える、賞賛する、称賛する、褒め称える、勧める、薦める、奨める、褒め称える、賛辞する、引用する、引用する","to praise, to laud, to extol, to commend, to honor, to eulogize, to compliment, to quote, to cite","1","0","0","0","0","0"
