20000,eka,eka,1-2,1,One,0
20001,pañcataya,pañcataya,1-2,5,The five,0
20002,aṣṭa,aṣṭa,1-2,8,eight,0
20003,advādaśāha,advādaśāha,1-2,12,Twelve,0
20004,dvadaśāra,dvadaśāra,1-2,12,Twelve,0
20005,dvādaśa,dvādaśa,1-2,12,Twelve,0
20006,dvādaśāha,dvādaśāha,1-2,12,Twelve,0
20007,dvidaśa,dvidaśa,1-2,12,Twelve,0
20008,bārha,bārha,1-2,12,Twelve,0
20009,bārhavata,bārhavata,1-2,12,twelve,0
20010,caturdaśa,caturdaśa,1-2,14,fourteen,0
20011,caurādika,caurādika,1-2,14,fourteen,0
20012,pañcadaśa,pañcadaśa,1-2,15,fifteen,0
20013,pāñcadaśa,pāñcadaśa,1-2,15,Fifteen,0
20014,ṣaḍakṣa,ṣaḍakṣa,1-2,16,Sixteen,0
20015,ṣaḍūna,ṣaḍūna,1-2,16,Sixteen,0
20016,ṣoḍa,ṣoḍa,1-2,16,Sixteen,0
20017,saptadaśa,saptadaśa,1-2,17,seventeen,0
20018,aṣṭādaśa,aṣṭādaśa,1-2,18,Eighteen,0
20019,unnasa,unnasa,1-2,19,Nineteen,0
20020,viṃśa,viṃśa,1-2,20,Twenty,0
20021,viṃśaka,viṃśaka,1-2,20,Twenty,0
20022,ekaviṃśa,ekaviṃśa,1-2,21,Twenty-one,0
20023,ekottara,ekottara,1-2,21,Twenty-one,0
20024,dvayasa,dvayasa,1-2,22,Twenty-two,0
20025,dvāviṃśa,dvāviṃśa,1-2,22,Twenty-two,0
20026,dviśatya,dviśatya,1-2,22,Twenty-two,0
20027,trayoviṃśa,trayoviṃśa,1-2,23,Twenty-three,0
20028,trayoviṃśatika,trayoviṃśatika,1-2,23,Twenty-three,0
20029,caturviṃśa,caturviṃśa,1-2,24,Twenty-four,0
20030,bisaguṇa,bisaguṇa,1-2,24,Twenty-four,0
20031,arvāgviṃśa,arvāgviṃśa,1-2,25,Twenty-five,0
20032,pañcaviṃśa,pañcaviṃśa,1-2,25,Twenty-five,0
20033,pañcaviṃśatika,pañcaviṃśatika,1-2,25,Twenty-five,0
20034,triṃśa,triṃśa,1-2,30,Thirty,0
20035,ekatriṃśa,ekatriṃśa,1-2,31,Thirty-one,0
20036,ekatriṃśaka,ekatriṃśaka,1-2,31,Thirty-one,0
20037,catustriṃśa,catustriṃśa,1-2,34,Thirty-four,0
20038,ṣaṭtriṃśa,ṣaṭtriṃśa,1-2,36,Thirty-six,0
20039,ṣaṭtriṃśadaha,ṣaṭtriṃśadaha,1-2,36,Thirty-sixteen,0
20040,saptatriṃśa,saptatriṃśa,1-2,37,Thirty-seven,0
20041,aṣṭatriṃśa,aṣṭatriṃśa,1-2,38,Thirty-eight,0
20042,aṣṭātriṃśa,aṣṭātriṃśa,1-2,38,Thirty-eight,0
20043,ekacatvāriṃśa,ekacatvāriṃśa,1-2,41,Forty-one,0
20044,dvācatvāriṃśa,dvācatvāriṃśa,1-2,42,Forty-two,0
20045,dvicatvāriṃśa,dvicatvāriṃśa,1-2,42,Forty-two,0
20046,trayaścatvāriṃśa,trayaścatvāriṃśa,1-2,43,Forty-three,0
20047,tricatvāriṃśa,tricatvāriṃśa,1-2,43,Forty-three,0
20048,catuścatvāriṃśa,catuścatvāriṃśa,1-2,44,Forty-four,0
20049,ṣaṭcatvāriṃśa,ṣaṭcatvāriṃśa,1-2,46,Forty-six,0
20050,saptacatvāriṃśa,saptacatvāriṃśa,1-2,47,Forty-seven,0
20051,aṣṭacatvāriṃśa,aṣṭacatvāriṃśa,1-2,48,Forty-eight,0
20052,aṣṭācatvāriṃśa,aṣṭācatvāriṃśa,1-2,48,Forty-eight,0
20053,pañcāśa,pañcāśa,1-2,50,Fifty,0
20054,pañcāśaka,pañcāśaka,1-2,50,fifty,0
20055,pañcāha,pañcāha,1-2,50,Fifty,0
20056,ekapañcāśa,ekapañcāśa,1-2,51,Fifty-one,0
20057,dvāpañcāśa,dvāpañcāśa,1-2,52,Fifty-two,0
20058,dvipañcāśa,dvipañcāśa,1-2,52,Fifty-two,0
20059,dvipañcāśattama,dvipañcāśattama,1-2,52,Fifty-two,0
20060,tripañcāśa,tripañcāśa,1-2,53,Fifty-three,0
20061,tripañcāśattama,tripañcāśattama,1-2,53,Fifty-three,0
20062,pañcaṣa,pañcaṣa,1-2,56,Fifty-six,0
20063,ṣaṭpañcāśa,ṣaṭpañcāśa,1-2,56,Fifty-six,0
20064,saptapañcāśa,saptapañcāśa,1-2,57,Fifty-seven,0
20065,aṣṭapañcāśa,aṣṭapañcāśa,1-2,58,Fifty-eight,0
20066,ṣaṣṭikya,ṣaṣṭikya,1-2,60,Sixty,0
20067,ekaṣaṣṭitama,ekaṣaṣṭitama,1-2,61,Sixty-first,0
