40000,śālīnaśīla,śālīnaśīla,1-2,丁寧,polite,0
40001,śiṣṭa,śiṣṭa,1-2,丁寧,polite,0
40002,śīlita,śīlita,1-2,丁寧,polite,0
40003,svarūpagata,svarūpagata,1-2,丁寧,formal,0
40004,śiṣṭasammata,śiṣṭasammata,1-2,丁寧に受け入れ,politely accepted,0
40005,śiṣṭācīrṇa,śiṣṭācīrṇa,1-2,丁寧に引き裂かれました,politely torn,0
40006,śiṣṭādiṣṭa,śiṣṭādiṣṭa,1-2,丁寧に注文,politely ordered,0
40007,samīcīna,samīcīna,1-2,丁度,Exactly,0
40008,saptasamudrānta,saptasamudrānta,1-2,七つの海,The seven seas,0
40009,saptārṇava,saptārṇava,1-2,七つの海,The seven oceans,0
40010,sātmīkṛta,sātmīkṛta,1-2,七つ折り,sevenfolded,0
40011,saptalokamaya,saptalokamaya,1-2,七世,seven-worldly,0
40012,trisapta,trisapta,1-2,七十三,Seventy-three,0
40013,trisaptata,trisaptata,1-2,七十三,Seventy-three,0
40014,pañcasaptata,pañcasaptata,1-2,七十五,Seventy-five,0
40015,saptakoṇa,saptakoṇa,1-2,七角形,Heptagon,0
40016,saptaṛṣīṇa,saptaṛṣīṇa,1-2,七賢人,The seven sages,0
40017,saptagaṇa,saptagaṇa,1-2,七重,The sevenfold,0
40018,saptakapāla,saptakapāla,1-2,七頭,The seven-headed,0
40019,daśasahaika,daśasahaika,1-2,万,ten thousand,0
40020,daśasāhasra,daśasāhasra,1-2,万,ten thousand,0
40021,daśasāhasrika,daśasāhasrika,1-2,万,Ten thousand,0
40022,sarvārthacintaka,sarvārthacintaka,1-2,万能思想家,All-purpose thinker,0
40023,sarvārthasādhana,sarvārthasādhana,1-2,万能手段,All-purpose means,0
40024,sarvārthakuśala,sarvārthakuśala,1-2,万能熟練,All-purpose skilled,0
40025,traya,traya,1-2,三,Three,0
40026,triliṅga,triliṅga,1-2,三か国語,Trilingual,0
40027,triliṅgaka,triliṅgaka,1-2,三か国語,Trilingual,0
40028,trapāyukta,trapāyukta,1-2,三位一体,trinity,0
40029,tridivagata,tridivagata,1-2,三位一体,trinity,0
40030,trinivitka,trinivitka,1-2,三位一体,trinity,0
40031,trisītya,trisītya,1-2,三位一体,trinity,0
40032,trayīmaya,trayīmaya,1-2,三位一体,Trinitarian,0
40033,trayīvida,trayīvida,1-2,三位一体,Trinitarian,0
40034,triṃśaka,triṃśaka,1-2,三位一体,Trinity,0
40035,triṇava,triṇava,1-2,三位一体,Trinity,0
40036,triṇavātmaka,triṇavātmaka,1-2,三位一体,Trinitarian,0
40037,traiṃśika,traiṃśika,1-2,三位一体,Trinity,0
40038,traiguṇya,traiguṇya,1-2,三位一体,Trinity,0
40039,trainiṣkika,trainiṣkika,1-2,三位一体,Trinity,0
40040,traividya,traividya,1-2,三位一体,Trinity,0
40041,traividhya,traividhya,1-2,三位一体,Trinity,0
40042,tryanīka,tryanīka,1-2,三位一体,Trinity,0
40043,tryunnata,tryunnata,1-2,三位一体,Trinity,0
40044,triḥṣamṛddha,triḥṣamṛddha,1-2,三価,trivalent,0
40045,trayastriṃśa,trayastriṃśa,1-2,三十三,Thirty-three,0
40046,triṃśadviṃśa,triṃśadviṃśa,1-2,三十二,Thirty-two,0
40047,dvātriṃśa,dvātriṃśa,1-2,三十二,Thirty-two,0
40048,pañcatriṃśa,pañcatriṃśa,1-2,三十五,Thirty-five,0
40049,pañcatriṃśika,pañcatriṃśika,1-2,三十五,Thirty-five,0
40050,tryaṣṭavarṣa,tryaṣṭavarṣa,1-2,三十八年,Three-and-eight years,0
40051,tricaturdaśa,tricaturdaśa,1-2,三十四,Three-fourteen,0
40052,trisāhasramahāsāhasrika,trisāhasramahāsāhasrika,1-2,三千大千,Three thousand great thousand,0
40053,sāṃyugīna,sāṃyugīna,1-2,三友吟,Sanyugin,0
40054,trairātrika,trairātrika,1-2,三夜,Three-nighters,0
40055,tridanta,tridanta,1-2,三座,Tridentate,0
40056,trīndriya,trīndriya,1-2,三感,The three senses,0
40057,tryakṣara,tryakṣara,1-2,三文字,Tricharacter,0
40058,tryālikhita,tryālikhita,1-2,三文字,Triliterated,0
40059,trimārga,trimārga,1-2,三方向,Three-way,0
40060,candraśubhra,candraśubhra,1-2,三日月,crescent moon,0
40061,adhyardhakārṣāpaṇa,adhyardhakārṣāpaṇa,1-2,三日月,crescent,0
40062,ardhacandra,ardhacandra,1-2,三日月,crescent moon,0
40063,ardhacandramukha,ardhacandramukha,1-2,三日月,crescent moon,0
40064,ardhacandrākāra,ardhacandrākāra,1-2,三日月,crescent shape,0
40065,ardhacandrākṛta,ardhacandrākṛta,1-2,三日月,crescent moon,0
40066,ardhacandropama,ardhacandropama,1-2,三日月,crescent moon,0
40067,avardhamāna,avardhamāna,1-2,三日月,crescent,0
40068,ardhacandanalipta,ardhacandanalipta,1-2,三日月形に覆われた,crescent-covered,0
40069,triviṣūka,triviṣūka,1-2,三極,Tripole,0
40070,tārtīya,tārtīya,1-2,三次,Tertiary,0
40071,tārtīyaka,tārtīyaka,1-2,三次,Tertiary,0
40072,tārtīyīka,tārtīyīka,1-2,三次,Tertiary,0
40073,tṛtīyaka,tṛtīyaka,1-2,三次,Tertiary,0
40074,tṛtīyika,tṛtīyika,1-2,三次,Tertiary,0
40075,trividha,trividha,1-2,三次元,Three-dimensional,0
40076,trimātrākāla,trimātrākāla,1-2,三次元時間,Three-dimensional time,0
