"number","title","pageid","namespace","length","touched"
"1","-ताति","4555348","","424","20210428212111"
"2","अङ्गुरि","1259564","","777","20200807015817"
"3","अङ्गुलि","1259583","","1585","20211111114908"
"4","अरमति","6810997","","751","20220101055718"
"5","अशनि","7145416","","705","20200908072551"
"6","अश्रि","1074539","","476","20191016054424"
"7","आति","901429","","1516","20220209152451"
"8","आत्मग्लानि","8016739","","865","20210312103042"
"9","इष्टि","7162003","","770","20210426070517"
"10","उक्ति","1795966","","1210","20220101030423"
"11","उत्पत्ति","6515737","","1518","20220309022713"
"12","उन्नति","6157432","","788","20211230061804"
"13","ऊढि","8702021","","365","20220317162500"
"14","ऊति","7145251","","718","20200908072538"
"15","ऊर्मि","4114972","","1085","20201006061403"
"16","ऋति","6570201","","410","20211226081330"
"17","ऋद्धि","1110005","","3259","20220321222019"
"18","ओषधि","2127179","","241","20201026050053"
"19","कटि","7887134","","1896","20210314084753"
"20","कान्ति","7889467","","797","20210124044230"
"21","कुख्याति","6542053","","617","20211230063213"
"22","क्रान्ति","7889559","","731","20210628032734"
"23","क्लान्ति","8101946","","538","20210521145213"
"24","क्षति","2752945","","714","20220301204837"
"25","क्षान्ति","7815972","","178","20210822042436"
"26","क्षिति","1210402","","1331","20220301204750"
"27","कॢप्ति","8068320","","381","20210422014400"
"28","खनि","4990936","","2000","20210118152735"
"29","खानि","7833891","","1167","20210118152123"
"30","गति","335243","","3402","20211230064111"
"31","गूर्ति","7316735","","578","20220110194611"
"32","गृद्धि","7971572","","313","20210211011132"
"33","ग्लानि","8016592","","2219","20210505020847"
"34","चतुर्थी_विभक्ति","5103566","","457","20220503161154"
"35","चन्द्रकान्ति","7969709","","729","20210209045604"
"36","चिच्छक्ति","8131298","","1042","20220412162706"
"37","चित्ति","8671636","","1628","20220228135244"
"38","छदि","7817955","","637","20210119040949"
"39","छर्दि","7961061","","1067","20220101060229"
"40","जनि","901136","","1210","20220312160637"
"41","जाति","901020","","2618","20211230065705"
"42","जानि","7138764","","248","20190311200634"
"43","जीवन्मुक्ति","1471608","","305","20200907135509"
"44","ज्योति","5586794","","604","20220426045915"
"45","तुष्टि","7986016","","1311","20220202175033"
"46","तृतीया_विभक्ति","5103012","","352","20220503161930"
