"number","title","pageid","namespace","length","touched"
"1","अङ्कनी","7731488","","167","20220311181128"
"2","अधिकारिणी","7757679","","548","20211230055823"
"3","अपराधिनी","7758259","","491","20211230060038"
"4","अवसर्पिणी","6638159","","249","20220429183037"
"5","अही","6514257","","554","20210612213544"
"6","आग्नेय","4967012","","1007","20220210171837"
"7","आशी","7959281","","1255","20220227034803"
"8","उत्तराधिकारिणी","7757690","","332","20210402062059"
"9","उरु","6099573","","1308","20220101030457"
"10","ऋणिनी","7775421","","303","20200913100743"
"11","कदली","7740453","","268","20210402062150"
"12","करिवैजयन्ती","7840741","","300","20201110090303"
"13","कर्तनी","7659001","","308","20220316163012"
"14","काफी","1535895","","2202","20220119151308"
"15","काली","1572604","","3271","20220407113532"
"16","कुक्कुटी","8763943","","2447","20220430110558"
"17","कोशवती","7711033","","158","20210402062335"
"18","क्षत्री","6422858","","211","20180126140025"
"19","गन्तृ","7827276","","800","20210709154640"
"20","गर्भनाडी","8110832","","570","20210529025821"
"21","गर्भिणी","7751204","","1674","20220410074025"
"22","गोपी","6609339","","1830","20220513033052"
"23","घटी","8700120","","392","20220501225321"
"24","चक्रवर्तिनी","7742757","","401","20211202233355"
"25","चण्ड","7146618","","686","20201030084106"
"26","चतुर्थी","5919303","","414","20220503172831"
"27","चिक्कण","8103348","","1501","20210714141131"
"28","जननी","3819899","","910","20220214210959"
"29","जनित्री","8730766","","505","20220406183644"
"30","जनी","7138769","","212","20220101060244"
"31","डाकिनी","8001819","","522","20211024055516"
"32","तकु","7139537","","271","20220117192641"
"33","तनु","1090743","","2103","20220101060340"
"34","तविषी","7146630","","343","20210426070750"
"35","ताली","312165","","844","20201029111900"
"36","दम्पती","7819149","","528","20201020081814"
"37","दर्वी","6590489","","535","20220101060447"
"38","दानिनी","7777810","","390","20200915092309"
"39","दायिनी","7753589","","303","20210402062623"
"40","दुर्मनस्","7888127","","832","20210303040107"
"41","दूरवाणी","6660769","","1778","20201017071647"
"42","देवी","1014196","","1424","20220405020630"
"43","धी","900967","","1019","20220511125847"
"44","नदी","334562","","2932","20220219174343"
"45","नन्दिनी","3842529","","606","20201104154423"
"46","नप्तृ","1015359","","760","20200717165556"
"47","नाग","1136378","","3966","20220420230358"
"48","नाडी","8111057","","2633","20211230063012"
"49","नारी","923308","","1116","20220430223109"
"50","नेत्री","6639322","","470","20211230072601"
"51","पक्तृ","7966951","","1186","20210609010956"
"52","पञ्चमी","3797556","","1371","20220503173119"
"53","पत्नी","334532","","2973","20211230072759"
"54","पल्ली","8673019","","236","20220316220003"
"55","पाप","1014725","","2689","20220219161706"
"56","पालङ्की","7711050","","543","20210402062827"
"57","पाषी","6243138","","962","20210907015637"
"58","पृथिवी","6615163","","1565","20210402062856"
"59","पृथु","1079445","","2165","20211230073450"
"60","पृथ्वी","335272","","2380","20211230073453"
"61","पेशी","3554984","","1024","20211230073529"
"62","प्रत्याशिनी","7747073","","267","20210402062908"
"63","प्राकृत","5012700","","3938","20211114181413"
"64","बन्दिनी","7741501","","385","20220425163204"
"65","बर्बटी","7898527","","966","20210102040035"
"66","बान्धव","6368084","","498","20201129163029"
"67","भगिनी","5077956","","1943","20211118061415"
"68","भण्डाकी","1754432","","323","20200802073642"
"69","भी","2665795","","1707","20211230075505"
"70","मटची","8817709","","968","20220605120833"
"71","मन्त्रिणी","7741697","","499","20220101030216"
"72","मयूरी","2136839","","421","20191122044857"
"73","मरीचि","7345303","","654","20210426071040"
"74","मरुस्थली","7143831","","176","20200905215606"
"75","मषी","7731980","","302","20210124111041"
"76","मसी","7731978","","302","20210124111131"
"77","मालिनी","4964472","","627","20210402063135"
"78","मेथी","5583631","","566","20220311213449"
"79","मेन्धी","8029657","","429","20210320134050"
"80","यक्षिणी","8700532","","1138","20220316100255"
"81","यन्तृ","7846943","","631","20201116120456"
"82","यह्वी","7139176","","260","20200908072254"
"83","यात्रिणी","7758190","","281","20210402063234"
"84","युवन्","1101082","","2588","20211214185659"
"85","योगिनी","7757147","","626","20211230081300"
"86","योनी","7784803","","368","20210904161112"
"87","रजनी","6281711","","545","20200910143923"
"88","राजतरंगिणी","7835125","","624","20201229030448"
"89","राज्ञी","1658102","","2063","20220316003046"
"90","रोगिणी","7756772","","524","20211230081807"
"91","रोटी","334534","","1182","20211230081818"
"92","रोहिणी","4922085","","1505","20220426205553"
"93","ली","6261775","","820","20210128050240"
"94","लेखनी","3600028","","1003","20220417222745"
"95","वसु","1138760","","2083","20220224203748"
"96","वाणी","5778319","","716","20211230082401"
"97","वापी","6244251","","314","20220308172956"
"98","विद्यादेवी","7909478","","407","20210109171400"
"99","विद्यार्थिनी","7769519","","693","20211230082554"
"100","विद्वस्","7776664","","2121","20211013024318"
"101","वृकी","7623175","","371","20210312202609"
"102","वृत्रहन्","1016094","","987","20201111044721"
"103","वेदी","1796056","","643","20211230082839"
"104","वैदेही","8748894","","304","20220419195921"
"105","वैश्वानर","1383249","","1706","20200805103655"
"106","वैष्णव","7727557","","1117","20200813095210"
"107","शत","1057470","","4648","20220121033055"
"108","शार्दूली","8618694","","2533","20220313054835"
"109","शास्त्रिणी","7741701","","242","20220101061806"
"110","शैव","7727563","","1019","20220326062547"
"111","श्री","1048664","","3021","20220312174404"
"112","श्वानी","8182746","","277","20210728174545"
"113","संन्यासिनी","7770457","","530","20210402063727"
"114","सखी","6095624","","584","20220423220423"
"115","सपत्नी","6376377","","3893","20220415033500"
"116","सरस्वती","1103312","","3536","20220217145912"
"117","साक्षिणी","7757166","","243","20200907135602"
"118","सुश्रोणी","8165074","","889","20210714121000"
"119","सुहृन्नारी","8135608","","386","20210618114521"
"120","सूची","4988704","","553","20211230084957"
"121","स्तरी","6363222","","1337","20210803080047"
"122","स्त्री","334497","","3081","20220521034123"
"123","स्थाली","8736451","","733","20220415164417"
"124","स्फिगी","7138915","","363","20200908072221"
"125","स्वामिनी","5005577","","572","20220330161039"
"126","हन्","6325226","","1591","20220118191451"
"127","हलदी","7804336","","2612","20220210171942"
"128","हलद्दी","7804342","","143","20201008123049"
"129","हिन्दी","58367","","1276","20220119160124"
