"number","title","pageid","namespace","length","touched"
"1","अवि","1067980","","847","20220523075347"
"2","ऋष्टि","6128426","","447","20180703050446"
"3","केलि","7772481","","1096","20220222171406"
"4","तिथि","5063633","","942","20211225023440"
"5","नि","2210800","","1129","20220223153851"
"6","मरीचि","7345303","","654","20210426071040"
"7","मुष्टि","6245559","","2549","20211121044835"
"8","योनि","336634","","2276","20220430193052"
"9","रयि","210487","","934","20220209234348"
"10","राशि","1668061","","2620","20220511192058"
"11","वस्ति","7139927","","970","20220101061603"
"12","श्रोणि","1090801","","705","20211024054215"
"13","हेति","6232641","","1427","20220328161749"
