"number","title","pageid","namespace","length","touched"
"1","अंशु","988107","","2142","20211124214031"
"2","अक्तु","988206","","721","20220101034748"
"3","अगरु","7771680","","866","20220105122531"
"4","अणु","335857","","1306","20220329171455"
"5","अध्वर्यु","1378368","","776","20210823222410"
"6","अनु","6346813","","1396","20220101030158"
"7","आखु","1378975","","619","20200807042102"
"8","आयु","362966","","2454","20220601144416"
"9","आशु","1062208","","1348","20210127152530"
"10","इन्दु","2122234","","846","20220511125748"
"11","इषु","6090990","","1298","20210305035249"
"12","ऊर्ध्ववायु","7829480","","838","20210418042110"
"13","ऋतु","478804","","3081","20220410014512"
"14","ऋभु","6489848","","546","20210326013354"
"15","ओतु","6932226","","609","20181014120410"
"16","कद्रु","7824995","","1145","20211025022148"
"17","कश्यपमेरु","7739892","","411","20210304092748"
"18","केतु","1136495","","1864","20211121143024"
"19","क्रतु","6050219","","898","20201114085040"
"20","क्रन्दनु","7345317","","617","20220225091656"
"21","गुरु","335277","","3877","20220106171738"
"22","चक्षु","6117037","","1757","20211230064753"
"23","चरु","6287199","","467","20180918091038"
"24","जन्तु","6265373","","657","20201114085743"
"25","डमरु","1796045","","603","20220604213013"
"26","तनु","1090743","","2103","20220101060340"
"27","तन्तु","1136369","","930","20210706051440"
"28","तर्कु","1090738","","914","20200709074621"
"29","तायु","1209806","","813","20191225050734"
"30","त्सरु","7145648","","887","20210308165441"
"31","दानु","7138709","","643","20220101060504"
"32","द्यु","954473","","1323","20210815142240"
"33","द्रु","1125449","","739","20210610135007"
"34","द्विगु","6431966","","356","20210402062652"
"35","धनु","5407219","","1181","20211230071728"
"36","धातु","920892","","2099","20220116061744"
"37","धूमकेतु","5096857","","549","20211230071819"
"38","नग्नहु","8685190","","489","20220306090315"
"39","नृपशु","7145315","","292","20190317090313"
"40","परशु","579701","","1522","20211117184608"
"41","पर्शु","1079773","","2596","20220101060809"
"42","पलाण्डु","859235","","659","20211230073013"
"43","पशु","334500","","1627","20220321012856"
"44","पांसु","6242957","","428","20210324004504"
"45","पायु","1080315","","843","20201024051715"
"46","पितु","6138651","","744","20220210063810"
"47","पुरु","1450953","","1898","20201024053400"
"48","पृथु","1079445","","2165","20211230073450"
"49","बन्धु","6354561","","1048","20220211192508"
"50","बभ्रु","6140326","","1320","20220314120811"
"51","बाहु","3833810","","2233","20220222060127"
"52","बिन्दु","1134883","","2088","20190512013427"
"53","भरु","7145099","","177","20211117171325"
"54","भानु","6387218","","1345","20220511131231"
"55","भिक्षु","2467300","","1123","20220508094543"
"56","मद्गु","7887904","","390","20210615052018"
"57","मधु","679731","","3550","20220328163423"
"58","मनु","1101207","","2066","20211230075939"
"59","मन्तु","7138505","","706","20220215035353"
"60","मन्यु","2123815","","486","20210426071801"
"61","मरु","1359820","","2033","20211230080023"
"62","मृत्यु","1110022","","2611","20220214164608"
"63","मृदु","1415905","","2342","20220527041330"
"64","मेरु","7829490","","972","20201029082837"
"65","यज्यु","7139095","","419","20220125224051"
"66","यहु","6285991","","783","20220305191036"
"67","यातु","2176704","","1595","20220101061309"
"68","रघु","4900118","","1183","20220415164400"
"69","राहु","1136479","","1056","20220303200352"
"70","रिपु","7145607","","1220","20200414234746"
"71","रेणु","4920651","","390","20210802133822"
"72","लघु","918747","","3488","20220529075158"
"73","वग्नु","7161897","","389","20220310225958"
"74","वसन्तर्तु","7825826","","336","20210814072116"
"75","वसु","1138760","","2083","20220224203748"
"76","वायु","1014132","","3187","20220328194356"
"77","वास्तु","1138724","","1416","20211230082444"
"78","शंतनु","7819212","","1344","20201130112850"
"79","शत्रु","3597312","","2448","20220309011922"
"80","शरारु","7145683","","350","20200905220157"
"81","शरु","6262527","","423","20191016054700"
"82","साधु","1139483","","3356","20220205044702"
"83","सिन्धु","1103250","","2677","20220312030423"
"84","सूनु","82261","","2223","20220212015126"
"85","सेतु","4906530","","2119","20211024054827"
"86","स्तरु","7145054","","159","20220101062121"
"87","स्तायु","7145042","","401","20191225050754"
"88","स्वरु","6357460","","1088","20211028123128"
"89","स्वादु","6246259","","2497","20211114181526"
"90","हनु","904289","","1631","20190508041102"
"91","हरेणु","7711149","","1369","20211114181532"
"92","हिङ्गु","6284434","","2056","20211024124214"
"93","हिन्दु","7891182","","639","20201228145917"
"94","हेतु","1134537","","3386","20220309211003"
