"number","title","pageid","namespace","length","touched"
"1","अंहस्","988118","","1456","20210426075315"
"2","अङ्कस्","1198641","","890","20210426070432"
"3","अङ्गिरस्","5778807","","273","20190526002429"
"4","अञ्जस्","6277021","","691","20220112185248"
"5","अनस्","4927442","","653","20200807050140"
"6","अन्धस्","6156763","","1421","20210907011717"
"7","अपस्","8197143","","506","20211107060842"
"8","अप्सरस्","6654125","","683","20220419035424"
"9","अप्सस्","7139501","","766","20220109153816"
"10","अमनस्","7923200","","695","20210116160654"
"11","अयस्","902035","","1385","20220512023121"
"12","अर्शस्","6278995","","1058","20220524010030"
"13","आगस्","1074522","","1023","20211230091840"
"14","इरस्","6886505","","328","20200905171039"
"15","उषस्","1097738","","2321","20220322134517"
"16","ऊधस्","1076627","","812","20210226080635"
"17","एधस्","6334120","","828","20201019030405"
"18","एनस्","7145854","","496","20220329171754"
"19","ओकस्","7246057","","380","20210426070534"
"20","ओजस्","6008271","","1117","20210426070535"
"21","कण्ठ्य","6263158","","1238","20190816032127"
"22","करियादस्","7840766","","288","20201110094433"
"23","कृष्णायस्","6635510","","325","20191017020706"
"24","क्रन्दस्","7345039","","345","20220101030900"
"25","क्षोदस्","6966223","","402","20210426070607"
"26","चनस्","7189414","","339","20210426070653"
"27","चन्द्रमस्","7773507","","316","20210402062458"
"28","चेतस्","953375","","2379","20210426070655"
"29","छन्दस्","1096393","","618","20201103153117"
"30","जंहस्","7625309","","273","20200908230849"
"31","जनस्","1100610","","1259","20210426070659"
"32","जवस्","7143682","","222","20190316035102"
"33","जुवस्","7139404","","886","20211202140225"
"34","ज्रयस्","6109422","","812","20210929021753"
"35","तनस्","6832871","","454","20210426070734"
"36","तपस्","1090748","","788","20210131131220"
"37","तमस्","1090742","","1642","20210608151854"
"38","तरस्","8582751","","1883","20220125093246"
"39","तवस्","7146645","","589","20210426070743"
"40","तेजस्","3126025","","904","20210603182648"
"41","त्यजस्","6634360","","536","20210426070756"
"42","त्वेषस्","7146610","","184","20210426070802"
"43","दुर्मनस्","7888127","","832","20210303040107"
"44","दुवस्","7138696","","404","20200607063332"
"45","दोहस्","8731569","","399","20220407105445"
"46","द्वेषस्","6753438","","456","20210426070826"
"47","नभस्","937478","","1249","20211206135339"
"48","नमस्","1071583","","2692","20220516124813"
"49","पयस्","953360","","1207","20220110160625"
"50","पसस्","922574","","984","20210923191139"
"51","पाथस्","8535287","","2056","20211231200436"
"52","पीवस्","972942","","236","20220513040339"
"53","पुवस्","7623860","","473","20220216195810"
"54","प्रथस्","1170465","","438","20210426070911"
"55","प्सरस्","7139010","","195","20200905214941"
"56","प्सुरस्","7139011","","178","20200905214944"
"57","भरस्","7354681","","195","20220101061047"
"58","भर्गस्","8197918","","1020","20220204142435"
"59","मज्जस्","7345409","","232","20191221230331"
"60","मनस्","481875","","3489","20211228082558"
"61","मयस्","7694736","","462","20210426071038"
"62","महस्","6905721","","879","20220410093639"
"63","महीरजस्","8202702","","519","20210810060141"
"64","मेदस्","972945","","1478","20210419120814"
"65","यजस्","7139089","","183","20190312022333"
"66","यशस्","6541692","","1837","20211031133507"
"67","यहस्","7139185","","190","20200908072257"
"68","यादस्","7829569","","492","20201030064404"
"69","योगस्","7138927","","498","20200908072229"
"70","रंहस्","8553412","","3446","20220501134930"
"71","रक्षस्","7822721","","1181","20210514034426"
"72","रजस्","1795964","","772","20210613001204"
"73","रपस्","7146337","","299","20210608221613"
"74","रभस्","7146338","","478","20200606220910"
"75","रहस्","7145550","","941","20200908072623"
"76","राधस्","7146436","","478","20210604085915"
"77","रेक्णस्","6560253","","536","20210426071159"
"78","रेतस्","7343379","","574","20210711225636"
"79","रेपस्","7146310","","677","20200411143535"
"80","रोचस्","6422737","","692","20210911191211"
"81","वक्षस्","7158731","","493","20210426071204"
"82","वचस्","6639097","","381","20220407175329"
"83","वनस्","6095740","","741","20210327152249"
"84","वयस्","8180272","","1382","20220412131244"
"85","वरस्","7739341","","382","20210426071217"
"86","वर्चस्","7146347","","421","20200908072726"
"87","वर्पस्","7130318","","645","20220302024726"
"88","विद्वस्","7776664","","2121","20211013024318"
"89","वेदस्","7345140","","421","20220516144443"
"90","शरस्","7145682","","271","20200908072639"
"91","शवस्","7145613","","533","20220111204129"
"92","शिरस्","901962","","1472","20220606001534"
"93","शेपस्","7145349","","516","20200607052715"
"94","शेफस्","7145353","","499","20190322071500"
"95","श्रवस्","4160414","","1453","20211214172142"
"96","श्रेयस्","6253246","","748","20190508041613"
"97","सदस्","6570631","","605","20210111111540"
"98","सरस्","6113383","","1109","20220202112059"
"99","सहस्","6451960","","912","20220603152427"
"100","स्रोतस्","6472197","","1061","20220219141730"
"101","हरस्","6325683","","436","20210426071625"
"102","हेषस्","6393647","","522","20191016054805"
