"1","Αἰγαῖος",Αἰγαῖ,1-2,,,0
"2","Αἰγύπτιος",Αἰγύπτι,1-2,,,0
"3","Αἰολικος",Αἰολικ,1-2,,,0
"4","Βάκχειος",Βάκχει,1-2,,,0
"5","Γαλιλαῖος",Γαλιλαῖ,1-2,,,0
"6","Γραικος",Γραικ,1-2,,,0
"7","Δήλιος",Δήλι,1-2,,,0
"8","Δωρικος",Δωρικ,1-2,,,0
"9","Εὐριπίδειος",Εὐριπίδει,1-2,,,0
"10","Εὐρωπαῖος",Εὐρωπαῖ,1-2,,,0
"11","Θεσσαλικος",Θεσσαλικ,1-2,,,0
"12","Θεσσαλος",Θεσσαλ,1-2,,,0
"13","Θηβαῖος",Θηβαῖ,1-2,,,0
"14","Καδμηΐς",Καδμηΐδ,3con,,,0
"15","Καρχηδόνιος",Καρχηδόνι,1-2,,,0
"16","Κελτικος",Κελτικ,1-2,,,0
"17","Κερκυραῖος",Κερκυραῖ,1-2,,,0
"18","Κορίνθιος",Κορίνθι,1-2,,,0
"19","Κύνθιος",Κύνθι,1-2,,,0
"21","Λάκων",Λάκοντ,3nt,,,0
"22","Λέσβιος",Λέσβι,1-2,,,0
"23","Λακωνικος",Λακωνικ,1-2,,,0
"24","Λατῖνος",Λατῖν,1-2,,,0
"25","Λευιτικος",Λευιτικ,1-2,,,0
"26","Λευκάδιος",Λευκάδι,1-2,,,0
"27","Λυταῖος",Λυταῖ,1-2,,,0
"28","Λύκιος",Λύκι,1-2,,,0
"29","Μήλιος",Μήλι,1-2,,,0
"30","Μακεδονικος",Μακεδονικ,1-2,,,0
"31","Μεσσήνιος",Μεσσήνι,1-2,,,0
"32","Μηδικος",Μηδικ,1-2,,,0
"33","Μιθριακος",Μιθριακ,1-2,,,0
"34","Μιλήσιος",Μιλήσι,1-2,,,0
"35","Μυκηναῖος",Μυκηναῖ,1-2,,,0
"36","Μυτιληναῖος",Μυτιληναῖ,1-2,,,0
"37","Νειλώτος",Νειλώτ,3i,,,0
"38","Ξενοφωντικος",Ξενοφωντικ,1-2,,,0
"39","Ξενοφόντειος",Ξενοφόντει,1-2,,,0
"40","Ξενοφώντειος",Ξενοφώντει,1-2,,,0
"41","Πανάχραντος",Πανάχραντ,1-2,,,0
"42","Παναθηναϊκος",Παναθηναϊκ,1-2,,,0
"43","Πελασγικος",Πελασγικ,1-2,,,0
"44","Πελοποννήσιος",Πελοποννήσι,1-2,,,0
"45","Περσίς",Περσίδ,3con,,,0
"46","Περσικος",Περσικ,1-2,,,0
