"1800","Αἰγινήτης",,Masculine,1es,歯肉炎,Aeginitis,0,1,1
"1801","Βέλγης",,Masculine,1es,ベルギーの,Belgian,0,1,1
"1802","Βαστάρναι",,Masculine,1as,それは退屈だ,It's boring,0,1,1
"1803","Βισάλτης",,Masculine,1es,ビサルティス,Visaltis,0,1,1
"1804","Βορέης",,Masculine,1es,北,North,0,1,1
"1805","Βοῦσαι",,Masculine,1as,あなたが座る,You sit,1,0,1
"1806","Βρέναι",,Masculine,1as,臭い,It stinks,1,0,1
"1807","Βρεῦκοι",,Masculine,2,ブレッキ,Breukki,1,0,1
"1808","Γέτης",,Masculine,1es,ゲティス,Getis,0,1,1
"1809","Γαίτουλοι",,Masculine,2,猫,Cats,1,0,1
"1810","Γαλάτας",,Masculine,1as,牛乳屋さん,Milkman,0,1,1
"1811","Γαλάτης",,Masculine,1es,ガリア,Gaul,0,1,1
"1812","Δάκης",,Masculine,1es,ダキス,Dakis,0,1,1
"1813","Δάοι",,Masculine,2,ダオ,Dao,1,0,1
"1814","Δανθηλῆται",,Masculine,1as,レース付きです,It is laced,0,1,1
"1815","Δαρεῖται",,Masculine,1as,寄付されます,It is donated,0,1,1
"1816","Δεκαπολίτης",,Masculine,1es,デカポリタン,Decapolitan,0,1,1
"1817","Δροπικοί",,Masculine,2,ドロピック,Dropic,1,0,1
"1818","Εἱλώτης",,Masculine,1es,申立人,Petitioner,0,1,1
"1819","Ζακάται",,Masculine,1as,彼は病気である,He is sick,1,0,1
"1820","Ζιγχοί",,Masculine,2,ジグス,Zighs,1,0,1
"1821","Θυσσαγέται",,Masculine,1as,彼は苦しんでいる,He is suffering,0,1,1
"1822","Κάβειροι",,Masculine,2,洞窟探検家,Cavers,1,0,1
"1823","Κάνταβροι",,Masculine,2,カンタブリア人,Cantabrians,1,0,1
"1824","Καλίγγαι",,Masculine,1as,カリガイ,Kaligai,1,0,1
"1825","Καλλιπίδαι",,Masculine,1as,カリピダイ,Kallipidai,1,0,1
"1826","Κερκέται",,Masculine,1as,それが来るの,It's coming,1,0,1
"1827","Κοναψηνοί",,Masculine,2,コナプシニ,Konapsini,1,0,1
"1828","Κροτωνιάτης",,Masculine,1es,クロトニアン,Crotonian,0,1,1
"1829","Κρόβυζοι",,Masculine,2,栗,Chestnuts,1,0,1
"1830","Κυδωνιάτης",,Masculine,1es,キドニアティス,Kydoniatis,0,1,1
"1831","Κυρίτης",,Masculine,1es,主,Lord,0,1,1
"1832","Κωνσταντινουπολίτης",,Masculine,1es,コンスタンティノープル,Constantinople,0,1,1
"1833","Λαζοί",,Masculine,2,怠惰,Lazy,1,0,1
"1834","Λεωνίδης",,Masculine,1es,しし座,Leonidis,0,1,1
"1835","Μάκαι",,Masculine,1as,マッケイ,Mackay,0,1,1
"1836","Μέτειβοι",,Masculine,2,助産師,Midwives,1,0,1
"1837","Μαριανδυνοί",,Masculine,2,マリアンディン,Mariandyns,1,0,1
"1838","Μασσαλιώτης",,Masculine,1es,マサリオティス,Massaliotis,0,1,1
"1839","Ματῆροι",,Masculine,2,母親の,Mothers,1,0,1
"1840","Μεγαλοπολίτης",,Masculine,1es,メトロポリタン,Metropolitan,0,1,1
"1841","Μελάγχλαινοι",,Masculine,2,浅黒い肌,Dark-skinned,1,0,1
"1842","Μινύης",,Masculine,1es,マイナス,Minuis,0,1,1
"1843","Μοδόκαι",,Masculine,1as,モドカイ,Modokai,0,1,1
"1844","Μοσσύνοικοι",,Masculine,2,モシニコイ,Mossynikoi,1,0,1
"1845","Μωαβίτης",,Masculine,1es,モアブ人,Moabite,0,1,1
"1846","Μύκοι",,Masculine,2,菌類,Fungi,1,0,1
"1847","Νεαπολίτης",,Masculine,1es,ナポリタン,Neapolitan,0,1,1
"1848","Νευροί",,Masculine,2,神経,Nerves,1,0,1
"1849","Οὐενέδαι",,Masculine,1as,何もない,Nothing,0,1,1
"1850","Πέλιγνοι",,Masculine,2,ペリカン,Pelicans,1,0,1
"1851","Πέρσης",,Masculine,1es,ペルシア語,Persian,0,1,1
"1852","Παντίμαθοι",,Masculine,2,学習者,Learners,1,0,1
