"4322","ārdēscere","ārdēsc","ārdēscere","-","-","燃える、発火する、炎症を起こす、噴火する","to kindle, to catch fire, to become inflamed, to erupt","3","0","0","0","1","0"
"4323","āvellere","āvell","āvellere","āvuls","āvulsus","引き裂く、引き裂く、引き裂く、引き抜く、引きちぎる","to tear off, to tear away, to wrest, to pluck off, to rend off","3","0","0","0","0","0"
"4324","ēlūcēscere","ēlūcēsc","ēlūcēscere","-","-","光る、明ける","to shine forth, to dawn","3","0","1","0","1","0"
"4325","ūrere","ūr","ūrere","ussī","ustus","燃やす、消費する、炎症を起こす、苛立たせる、怒る、激怒させる、荒廃させる","to burn, to consume, to inflame, to annoy, to gall, to vex, to rage, to ravage","3","0","0","0","0","0"
"4326","abdere","abd","abdere","abdid","abditus","隠す、隠蔽する、秘密を守る、被せる、被る、抑圧する、覆う、取り除く、片付ける、脇に置く、追放する、自分自身を奪う、立ち去る、行って隠す","to hide, to conceal, to keep secret, to cover, to suppress, to sheathe, to remove, to put away, to set aside, to banish, to betake myself, to go away, to go and hide","3","0","0","0","0","0"
"4327","abicere","abici","abicere","abiēc","abiectus","投げ捨てる、投げ捨てる、投げ捨てる、投げ捨てる、投げ捨てる、捨てる 、減らす、下げる、投げ捨てる、転覆する、打ち負かす、安く売る、過小評価する、浪費する、堕落させる、卑下する、地面に身を投げる、身を投げ出す、自分を堕落させる、放電する 、投げる","to throw down, to throw away, to hurl down, to hurl away, to cast away, to cast aside, to push away, to push aside, to give up, to abandon, to expose, to discard, to humble, to degrade, to reduce, to lower, to cast down, to overthrow, to vanquish, to sell cheaply, to undervalue, to waste, to degrade, to belittle, to throw myself on ground, to throw myself away, to degrade myself, to discharge, to fling, to hurl, to cast, to throw","3a","0","0","0","0","0"
"4328","abigere","abig","abigere","abēg","abāctus","追い払う、抑止する、思いとどまらせる、怖がらせる、病気を取り除く、出産を強制する、中絶を引き起こす、牛を盗む","to drive away, to deter, to discourage, to frighten away, to remove disease, to force birth, to cause abortion, to steal cattle","3","0","0","0","0","0"
"4329","abjicere","abjici","abjicere","abjēc","abjectus","投げ捨てる、投げ捨てる、投げ捨てる、投げ捨てる、投げ捨てる、捨てる 、減らす、下げる、投げ捨てる、転覆する、打ち負かす、安く売る、過小評価する、浪費する、堕落させる、卑下する、地面に身を投げる、身を投げ出す、自分を堕落させる、放電する 、投げる","to throw down, to throw away, to hurl down, to hurl away, to cast away, to cast aside, to push away, to push aside, to give up, to abandon, to expose, to discard, to humble, to degrade, to reduce, to lower, to cast down, to overthrow, to vanquish, to sell cheaply, to undervalue, to waste, to degrade, to belittle, to throw myself on ground, to throw myself away, to degrade myself, to discharge, to fling, to hurl, to cast, to throw","3a","0","0","0","0","0"
"4330","abolēscere","abolēsc","abolēscere","-","-","次第に滅びる、朽ちる、死ぬ、消える、無くなる","to gradually perish, to decay, to die, to disappear, to vanish","3","0","1","0","1","0"
"4331","abrumpere","abrump","abrumpere","abrūp","abruptus","引き裂く、引き裂く、断ち切る、短く切る、断ち切る、終わらせる、終わらせる","to rend, to tear, to sever, to cut short, to break off, to terminate, to end","3","0","0","0","0","0"
"4332","abscindere","abscind","abscindere","abscid","abscissus","引き裂く、引きちぎる、引き裂く、切り離す、引き裂く、切り離す、引き離す","to tear, to rend off, to rend away, to separate, to divide, to cut off, to alienate","3","0","0","0","0","0"
"4333","absistere","absist","absistere","abstit","-","撤退する、立ち去る、去る、やめる、止める、停止する","to withdraw, to depart, to go away from, to desist, to stop from, to cease from","3","0","0","0","0","0"
"4334","abspellere","abspell","abspellere","abspul","abspulsus","追い払う、取り除く","to drive away, to remove","3","0","0","0","0","0"
"4335","accanere","accan","accanere","accecin","-","歌う、一緒に歌う","to sing to, to sing with","3","0","0","0","0","0"
"4336","accredere","accred","accredere","accrēdid","accrēditus","信じる、自分の信念を別の人に譲る、信念を一致させる、完全に信じる","to believe, to yield ones belief to another, to accord belief, to believe fully","3","0","0","0","0","0"
"4337","accrēscere","accresc","accrēscere","-","-","成長する、増やす","to grow, to increase ","3","0","1","0","1","0"
"4338","accumbere","accumb","accumbere","accubu","accubitus","机に寄りかかる、ベッドに横になる、机に着席する","to recline at table, to lie on bed, to take my place at table","3","0","0","0","0","0"
"4339","accurrere","accurr","accurrere","accucurr","accursus","走る、急ぐ、掛かる、突進する","to run, to hasten, to charge, to rush","3","0","0","0","0","0"
"4340","acescere","acesc","acescere","-","-","酸っぱくなる、酸化する","to become sour, to turn sour","3","0","1","0","1","0"
