"1","abaeto",abaet,abaetere,abaet,abaesus,あばえと,abaeto,3
"2","abbaeto",abbaet,abbaetere,abbaet,abbaesus,アボット,abbot,3
"3","abbito",abbit,abbitere,abbit,abbisus,アビト,abbito,3
"4","abbæto",abbæt,abbætere,abbæt,abbæsus,アベト,abbeto,3
"5","abcido",abcid,abcidere,abcid,abcisus,abcido,abcido,3
"6","abito",abit,abitere,abit,abisus,どこかに行って,go away,3
"7","abluo",ablu,abluere,ablu,ablutus,abluo,abluo,3
"8","abnuo",abnu,abnuere,abnu,abnutus,満足しています,to be content,3
"9","abscido",abscid,abscidere,abscid,abscisus,切り落とす,cut off,3
"10","abscondo",abscond,abscondere,abscond,absconsus,隠れる,hide,3
"11","absoluo",absolu,absoluere,absolu,absolutus,免除する,absolve,3
"12","absolvo",absolv,absolvere,absolv,absolūtus,リリース,release,3
"14","accendo",accend,accendere,accend,accensus,点灯,light up,3
"15","accido",accid,accidere,accid,accisus,秋,fall,3
"16","accurro",accurr,accurrere,accurr,accurritus,に向かって走る,run to,3
"17","acuo",acu,acuere,acu,acutus,研ぐ,sharpen,3
"18","adbibo",adbib,adbibere,adbib,adbibitus,行く,go,3
"19","adcurro",adcurr,adcurrere,adcurr,adcurritus,急げ,hurry up,3
"20","adluo",adlu,adluere,adlu,adlutus,大洪水,deluge,3
"21","adnuo",adnu,adnuere,adnu,adnutus,adnuo,adnuo,3
"22","adpendo",adpend,adpendere,adpend,adpensus,計量する,weigh,3
"23","adprehendo",adprehend,adprehendere,adprehend,adprehensus,理解する,comprehend,3
"24","adscendo",adscend,adscendere,adscend,adscensus,登る,climb up,3
"25","adsuo",adsu,adsuere,adsu,adsutus,adsuo,adsuo,3
"26","adtendo",adtend,adtendere,adtend,adtensus,出席,attend,3
"27","adtribuo",adtribu,adtribuere,adtribu,adtributus,割当,assign,3
"28","adverto",advert,advertere,advert,adversus,知らせ,notice,3
"29","advolvo",advolv,advolvere,advolv,advolūtus,ロールイン,roll in,3
"30","advorto",advort,advortere,advort,advorsus,あなたの注意を向けてください,turn your attention to,3
"31","alluo",allu,alluere,allu,allutus,alluo,alluo,3
"32","animadverto",animadvert,animadvertere,animadvert,animadversus,知らせ,notice,3
"33","annuo",annu,annuere,annu,annutus,通年,annual,3
"34","anteverto",antevert,antevertere,antevert,anteversus,予想,anticipate,3
"35","apo",ap,apere,ap,apitus,アポ,apo,3
"36","appendo",append,appendere,append,appensus,計量する,weigh,3
"37","apprehendo",apprehend,apprehendere,apprehend,apprehensus,取った,take,3
"38","apprendo",apprend,apprendere,apprend,apprensus,appredo,appredo,3
"39","arguo",argu,arguere,argu,argutus,叱責する,reprove,3
"40","ascendo",ascend,ascendere,ascend,ascensus,昇る,ascend,3
"41","aspuo",aspu,aspuere,aspu,asputus,唾を吐く,spit,3
"42","assuo",assu,assuere,assu,assutus,縫う,sew,3
"43","attendo",attend,attendere,attend,attensus,注意を払う,pay attention,3
"44","attigo",attig,attigere,attig,attigitus,接する,touch,3
"45","attribuo",attribu,attribuere,attribu,attributus,属性,attribute,3
"46","averto",avert,avertere,avert,aversus,消す,turn off,3
"47","battuo",battu,battuere,battu,battutus,ビート,beat,3
"48","bibo",bib,bibere,bib,bibitus,私は飲んでいます,I'm drinking,3
"49","circumcido",circumcid,circumcidere,circumcid,circumcisus,割礼,circumcise,3
"50","circumrodo",circumrod,circumrodere,circumrod,circumrosus,サーカムロド,circumrodo,3
"51","circumvolvo",circumvolv,circumvolvere,circumvolv,circumvolūtus,包み込む,wrap around,3
"52","coarguo",coargu,coarguere,coargu,coargutus,叱責する,reprove,3
"53","coepio",coepi,coepere,coepi,coepitus,始める,begin,3i
"54","coincido",coincid,coincidere,coincid,coincisus,一致,coincide,3
"55","combibo",combib,combibere,combib,combibitus,飲み干す,drink up,3
"56","commando",command,commandere,command,commansus,コマンド,commando,3
"57","comminuo",comminu,comminuere,comminu,comminutus,壊す,break,3
"58","complecto",complect,complectere,complect,complecsus,擁する,embrace,3
"59","comprehendo",comprehend,comprehendere,comprehend,comprehensus,含む,including,3
"60","comprendo",comprend,comprendere,comprend,comprensus,理解する,comprehend,3
"61","conbibo",conbib,conbibere,conbib,conbibitus,飲み干す,drink up,3
"62","concido",concid,concidere,concid,concisus,落ちる,fall down,3
"63","concurro",concurr,concurrere,concurr,concurritus,一緒に走る,run together,3
"64","condescendo",condescend,condescendere,condescend,condescensus,に見下す,condescend to,3
"65","confutuo",confutu,confutuere,confutu,confututus,くそ,fuck,3
"66","congruo",congru,congruere,congru,congrutus,同意,agree,3
"67","conprehendo",conprehend,conprehendere,conprehend,conprehensus,理解する,comprehend,3
"68","conscendo",conscend,conscendere,conscend,conscensus,マウント,mount,3
"69","consido",consid,considere,consid,consisus,検討,consider,3
"70","conspuo",conspu,conspuere,conspu,consputus,唾を吐く,spit,3
"71","constituo",constitu,constituere,constitu,constitutus,決めます,decide,3
"72","consuo",consu,consuere,consu,consutus,ステッチ,stitch,3
"73","contendo",contend,contendere,contend,contensus,競争,compete,3
"74","contribuo",contribu,contribuere,contribu,contributus,助ける,contribute,3
"75","convello",convell,convellere,convell,convellitus,引き上げる,pull up,3
"76","converto",convert,convertere,convert,conversus,変換,convert,3
"77","convolvo",convolv,convolvere,convolv,convolūtus,巻き上げる,roll up,3
"78","corruo",corru,corruere,corru,corrutus,落ちる,fall down,3
"79","cudo",cud,cudere,cud,cusus,cudo,cudo,3
"80","decido",decid,decidere,decid,decisus,落ちる,fall down,3
"81","decurro",decurr,decurrere,decurr,decurritus,流れ落ちる,run down,3
"82","defendo",defend,defendere,defend,defensus,守る,defend,3
"83","dego",deg,degere,deg,degitus,住む,live,3
"84","delibuo",delibu,delibuere,delibu,delibutus,汚す,defile,3
"85","deminuo",deminu,deminuere,deminu,deminutus,減らす,reduce,3
"86","dependo",depend,dependere,depend,depensus,による,depend on,3
"87","deprehendo",deprehend,deprehendere,deprehend,deprehensus,発見する,discover,3
"88","deprendo",deprend,deprendere,deprend,deprensus,発見する,discover,3
"89","descendo",descend,descendere,descend,descensus,降りてくる,come down,3
"90","desido",desid,desidere,desid,desisus,怠惰に,lazily,3
"91","destituo",destitu,destituere,destitu,destitutus,奪う,deprive,3
"92","deverro",deverr,deverrere,deverr,deverritus,verro,verro,3
"93","deverto",devert,devertere,devert,deversus,消す,turn off,3
"94","devolvo",devolv,devolvere,devolv,devolūtus,ロールアウェイ,roll away,3
"95","dilibuo",dilibu,dilibuere,dilibu,dilibutus,洗い流す,wash away,3
"96","diluo",dilu,diluere,dilu,dilutus,希薄,dilute,3
"97","diminuo",diminu,diminuere,diminu,diminutus,下降,decrease,3
"98","diruo",diru,diruere,diru,dirutus,解体,demolish,3
"99","discido",discid,discidere,discid,discisus,起こる,break out,3
"100","discurro",discurr,discurrere,discurr,discurritus,走る,run,3
"101","dissolvo",dissolv,dissolvere,dissolv,dissolūtus,自由,free,3
"102","dissuo",dissu,dissuere,dissu,dissutus,取り除く,get rid of,3
"103","distendo",distend,distendere,distend,distensus,膨張する,distend,3
"104","distribuo",distribu,distribuere,distribu,distributus,分配します,distribute,3
"105","divello",divell,divellere,divell,divellitus,解放する,disengage,3
"106","diverto",divert,divertere,divert,diversus,ダイバート,diverto,3
"107","ebibo",ebib,ebibere,ebib,ebibitus,私は飲んでいます,I'm drinking,3
"108","ecfutuo",ecfutu,ecfutuere,ecfutu,ecfututus,堕落で無駄にする,to waste in debauchery,3
"109","effutuo",effutu,effutuere,effutu,effututus,堕落で無駄にする,to waste in debauchery,3
"110","eluo",elu,eluere,elu,elutus,うがいする,rinse out,3
"111","eruo",eru,eruere,eru,erutus,ガウジアウト,rescue,3
"112","escado",escad,escadere,escad,escasus,escado,escado,3
"113","escendo",escend,escendere,escend,escensus,登る,climb up,3
"114","eschado",eschad,eschadere,eschad,eschasus,脱落する、地面に転がる、崩壊する、崩壊する、落下する,"to fall out, to tumble to the ground, to collapse, to break down, drop",3
"115","evello",evell,evellere,evell,evellitus,奮い起こします,pluck up,3
"116","everro",everr,everrere,everr,everritus,エバーロ,everro,3
"117","everto",evert,evertere,evert,eversus,デモ,demo,3
"118","evolvo",evolv,evolvere,evolv,evolūtus,展開する,unroll,3
"119","exacuo",exacu,exacuere,exacu,exacutus,研ぐ,sharpen,3
"120","exbibo",exbib,exbibere,exbib,exbibitus,飲み干す,drink out,3
"121","excado",excad,excadere,excad,excasus,エクスカド,excado,3
"122","excido",excid,excidere,excid,excisus,切り取る,cut out,3
"123","excudo",excud,excudere,excud,excusus,プリントアウト,print out,3
"124","excurro",excurr,excurrere,excurr,excurritus,なくなる,run out,3
"125","exolvo",exolv,exolvere,exolv,exolūtus,支払い,pay out,3
"126","expando",expand,expandere,expand,expansus,拡大,expand,3
"127","expendo",expend,expendere,expend,expensus,計量する,weigh,3
"128","expergo",experg,expergere,experg,expergitus,起きろ,wake up,3
"129","expuo",expu,expuere,expu,exputus,吐き出す,spit out,3
"130","exscendo",exscend,exscendere,exscend,exscensus,登る,climb,3
"131","exsolvo",exsolv,exsolvere,exsolv,exsolūtus,に支払います,pay to,3
"132","exspuo",exspu,exspuere,exspu,exsputus,吐き出す,spit out,3
"133","extendo",extend,extendere,extend,extensus,拡張する,extend,3
"134","exuo",exu,exuere,exu,exutus,取り除きます,strip off,3
"135","facesso",facess,facessere,facess,facessus,ファセソ,faceso,3
"136","fervo",ferv,fervere,ferv,ferūtus,熱心に,fervently,3
"137","floccipendo",floccipend,floccipendere,floccipend,floccipensus,フラシンド,flaccindo,3
"139","icio",ici,icere,ici,icitus,打つ,"to hit, to strike, to smite ",3i
"140","imbibo",imbib,imbibere,imbib,imbibitus,飲み干す,drink up,3
"141","imbuo",imbu,imbuere,imbu,imbutus,吹き込む,imbue,3
"142","imminuo",imminu,imminuere,imminu,imminutus,減少する,diminish,3
"143","impendo",impend,impendere,impend,impensus,広げる、拡大する,expand,3
"144","impluit",,,,,,,3
"145","incendo",incend,incendere,incend,incensus,に火をつける,set fire to,3
"146","incesso",incess,incessere,incess,incessus,incesso,incesso,3
"147","incido",incid,incidere,incid,incisus,降りかかります,fall on,3
"148","incurro",incurr,incurrere,incurr,incurritus,発生する,incur,3
"149","induo",indu,induere,indu,indutus,つける,put on,3
"150","ingruo",ingru,ingruere,ingru,ingrutus,gruo,gruo,3
"151","inminuo",inminu,inminuere,inminu,inminutus,減らす,lessen,3
"152","innuo",innu,innuere,innu,innutus,innuo,innuo,3
"153","inpendo",inpend,inpendere,inpend,inpensus,費やす,spend,3
"154","inruo",inru,inruere,inru,inrutus,駆け込む,rush in,3
"155","inscendo",inscend,inscendere,inscend,inscensus,昇る,ascend,3
"156","instituo",institu,instituere,institu,institutus,探し出す,find out,3
"157","insuo",insu,insuere,insu,insutus,insuo,insuo,3
"158","intendo",intend,intendere,intend,intensus,標的,aim,3
