"1","abripio",abripi,abripere,abripu,abriptus,奪うために,to snatch away,3,0,0,0,0,0
"2","accino",accin,accinere,accinu,accintus,着飾る,dress up,3,0,0,0,0,0
"3","accolo",accol,accolere,accolu,accoltus,成長する,grow up,3,0,0,0,0,0
"4","adripio",adripi,adripere,adripu,adriptus,触手,tentacles,3,0,0,0,0,0
"5","adsero",adser,adserere,adseru,adsertus,請求,claim,3,0,0,0,0,0
"6","alo",al,alere,alu,altus,栄養を与える,nourish,3,0,0,0,0,0
"7","arripio",arripi,arripiere,arripiu,arripitus,奪うために,to snatch up,3,0,0,0,0,0
"8","assero",asser,asserere,asseru,assertus,主張する,assert,3,0,0,0,0,0
"9","attexo",attex,attexere,attexu,attextus,に添付,attach to,3,0,0,0,0,0
"10","circumcolo",circumcol,circumcolere,circumcolu,circumcoltus,住む、住む、近くに住む,"inhabit, live around, live near",3,0,0,0,0,0
"11","circumstrepo",circumstrep,circumstrepere,circumstrepu,circumstreptus,について叫ぶ,shout about,3,0,0,0,0,0
"12","coalo",coal,coalere,coalu,coaltus,合体,coalesce,3,0,0,0,0,0
"13","colo",col,colere,colu,coltus,崇拝,worship,3,0,0,0,0,0
"14","commolo",commol,commolere,commolu,commoltus,挽く,grind,3,0,0,0,0,0
"15","compesco",compesc,compescere,compescu,compesctus,チェックする,to check,3,0,0,0,0,0
"16","concino",concin,concinere,concinu,concintus,歌うために,to sing,3,0,0,0,0,0
"17","concubo",concub,concubere,concubu,concubtus,セックスする,have sex,3,0,0,0,0,0
"18","confremo",confrem,confremere,confremu,confremtus,燃やす,to burn,3,0,0,0,0,0
"19","congemo",congem,congemere,congemu,congemtus,うめき声,groan,3,0,0,0,0,0
"20","conpesco",conpesc,conpescere,conpescu,conpesctus,沈黙する,to silence,3,0,0,0,0,0
"21","consero",conser,conserere,conseru,consertus,と握りに来る,come to grips with,3,0,0,0,0,0
"22","consulo",consul,consulere,consulu,consultus,相談する,consult,3,0,0,0,0,0
"23","contexo",contex,contexere,contexu,contextus,織り,weave,3,0,0,0,0,0
"24","contremo",contrem,contremere,contremu,contremtus,身震い,to tremble,3,0,0,0,0,0
"25","corripio",corripi,corripiere,corripiu,corripitus,叱責,rebuke,3,0,0,0,0,0
"26","depso",deps,depsere,depsu,depstus,捏ねる,to knead,3,0,0,0,0,0
"27","deripio",deripi,deripiere,deripiu,deripitus,奪われた,snatched away,3,0,0,0,0,0
"28","desero",deser,deserere,deseru,desertus,去る,to leave,3,0,0,0,0,0
"29","desipio",desipi,desipere,desipu,desiptus,賢明ではない,to be unwise,3,0,0,0,0,0
"30","detexo",detex,detexere,detexu,detextus,しなやか,and supple,3,0,0,0,0,0
"31","diripio",diripi,diripere,diripu,diriptus,略奪,plunder,3,0,0,0,0,0
"32","dissero",disser,disserere,disseru,dissertus,話し合います,discuss,3,0,0,0,0,0
"33","edissero",edisser,edisserere,edisseru,edissertus,説明,explain,3,0,0,0,0,0
"34","elicio",elici,elicere,elicu,elictus,ルアー,lure,3,0,0,0,0,0
"35","eripio",eripi,eripere,eripu,eriptus,配信する,to deliver,3,0,0,0,0,0
"36","evomo",evom,evomere,evomu,evomtus,吐瀉物,vomit,3,0,0,0,0,0
"37","excello",excell,excellere,excellu,excelltus,優れている,excel,3,0,0,0,0,0
"38","excolo",excol,excolere,excolu,excoltus,発展させる,develop,3,0,0,0,0,0
"39","exero",exer,exerere,exeru,exertus,行使する,exert,3,0,0,0,0,0
"40","exsero",exser,exserere,exseru,exsertus,行使する,exert,3,0,0,0,0,0
"41","fremo",frem,fremere,fremu,fremtus,不平を言う,to grumble,3,0,0,0,0,0
