"number","title","pageid","namespace","length","touched"
"1","अत्तृ","8661313","","825","20220301002233"
"2","अभियन्तृ","7769808","","231","20210402061916"
"3","उद्गातृ","1378360","","1252","20210903180638"
"4","कर्तृ","8201385","","1285","20220221074023"
"5","क्रेतृ","7747019","","215","20210402062340"
"6","गन्तृ","7827276","","800","20210709154640"
"7","जनितृ","6296664","","774","20210508014612"
"8","जामातृ","6229120","","1855","20211024055110"
"9","तृ","6617999","","716","20210426070754"
"10","त्रातृ","8086784","","748","20210508010731"
"11","त्वष्टृ","6276030","","599","20200601235301"
"12","दर्तृ","7145016","","252","20200905215859"
"13","दातृ","901129","","1160","20201114065451"
"14","दुहितृ","901110","","1856","20211115162901"
"15","देवृ","923320","","1225","20210104111528"
"16","द्यौष्पितृ","5376613","","862","20211005062831"
"17","धर्तृ","7144955","","220","20190317041540"
"18","धातृ","2123823","","547","20201114073006"
"19","नप्तृ","1015359","","760","20200717165556"
"20","नृ","1015100","","9296","20211115215638"
"21","नेतृ","6639427","","629","20220101060726"
"22","पक्तृ","7966951","","1186","20210609010956"
"23","पितुःष्वसृ","7995131","","627","20210227030122"
"24","पितृ","896539","","1974","20220310202407"
"25","पितृष्वसृ","7994542","","431","20210226154512"
"26","भर्तृ","6278186","","1880","20220101061049"
"27","भोक्तृ","8663396","","2085","20220227201348"
"28","भ्रातृ","895619","","2293","20220427224615"
"29","मनोतृ","7138524","","327","20210426071030"
"30","मन्तृ","7138498","","400","20211128232731"
"31","मातृ","193881","","2258","20220316083324"
"32","यन्तृ","7846943","","631","20201116120456"
"33","यष्टृ","8120482","","1254","20210606054501"
"34","यातृ","922575","","919","20210312113641"
"35","योद्धृ","7710816","","392","20210223152108"
"36","विक्रेतृ","7747020","","237","20220101061633"
"37","विमातृ","7985409","","468","20210221165614"
"38","वोढृ","6547341","","780","20220315225635"
"39","वोळ्हृ","6547342","","1065","20220318212841"
"40","सवितृ","904437","","1851","20220219130146"
"41","साढृ","7693182","","526","20201024082925"
"42","साळ्हृ","7693295","","544","20201024082926"
"43","स्तृ","1015152","","831","20220211172022"
"44","स्वसृ","895387","","1553","20220314045133"
"45","होतृ","1057752","","1237","20201206052224"
