"number","title","pageid","namespace","length","touched"
"1","alābu","7711017",,"1071","20211114181219"
"2","ākhu","1378975",,"619","20200807042102"
"3","kadru","7824995",,"1145","20211025022148"
"4","kharju","7852636",,"821","20210615180737"
"5","gu","7139526",,"642","20211230061336"
"6","janu","7138749",,"200","20220202161431"
"7","tanu","1090743",,"2103","20220101060340"
"8","dhenu","1014182",,"1151","20210716010534"
"9","parśu","1079773",,"2596","20220101060809"
"10","pṛthu","1079445",,"2165","20211230073450"
"11","bhānu","6387218",,"1345","20220511131231"
"12","manu","1101207",,"2066","20211230075939"
"13","mantu","7138505",,"706","20220215035353"
"14","mṛtyu","1110022",,"2611","20220214164608"
"15","mṛdu","1415905",,"2342","20220527041330"
"16","rajju","6373819",,"750","20211024055213"
"17","laghu","918747",,"3488","20220529075158"
"18","lābu","7851635",,"493","20220101061459"
"19","vasu","1138760",,"2083","20220224203748"
"20","vastu","183394",,"2572","20220508210037"
"21","vāstu","1138724",,"1416","20211230082444"
"22","śaru","6262527",,"423","20191016054700"
"23","sindhu","1103250",,"2677","20220312030423"
"24","sūnu","82261",,"2223","20220212015126"
"25","svādu","6246259",,"2497","20211114181526"
"26","hanu","904289",,"1631","20190508041102"
"27","hareṇu","7711149",,"1369","20211114181532"
"28","hindu","7891182",,"639","20201228145917"
