"1","agrū","8547812",,"2944","20220105132958"
"2","alābū","7851637",,"148","20201125173950"
"3","camū","7778724",,"1200","20211230064819"
"4","janū","7138747",,"290","20220202161530"
"5","juhū","1384318",,"2420","20190508041542"
"6","tanū","1014233",,"1670","20220518011909"
"7","bhū","900968",,"2508","20220517083712"
"8","bhrū","895617",,"1552","20220202040928"
"9","lābū","7851636",,"148","20201125173833"
"10","vadhū","1014220",,"830","20210426071215"
"11","śvaśrū","1014348",,"1807","20211024124248"
"12","sū","7043295",,"1166","20220101062100"
"13","svapū","1391601",,"597","20210503031614"
