"4200","aksamicić",aksamic,aksamici,aksamicić,ベルベット,velvet,4,present,0,0
"4201","atamanić",ataman,atamani,atamanić,アタマニック,atamanic,4,present,0,0
"4202","barwić",barw,barwi,barwić,色,color,4,present,0,0
"4203","bazgrolić",bazgrol,bazgroli,bazgrolić,走り書き,scribble,4,present,0,0
"4204","bałaganić",bałagan,bałagani,bałaganić,ぐちゃぐちゃ,mess around,4,present,0,0
"4205","bałwanić",bałwan,bałwani,bałwanić,乱す,disturb,4,present,0,0
"4206","bezcześcić",bezcześc,bezcześci,bezcześcić,冒涜,profane,4,present,0,0
"4207","biedzić",biedz,biedzi,biedzić,走る,to run,4,present,0,0
"4208","bielić",biel,bieli,bielić,白塗り,whitewash,4,present,0,0
"4209","biesić",bies,biesi,biesić,饗宴する,to feast,4,present,0,0
"4210","bliźnić",bliźn,bliźni,bliźnić,ツイン,twin,4,present,0,0
"4211","bogacić",bogac,bogaci,bogacić,豊かにする,enrich,4,present,0,0
"4212","bruździć",bruźdz,bruździ,bruździć,畝間,furrow,4,present,0,0
"4213","brązowić",brązow,brązowi,brązowić,茶色,brown,4,present,0,0
"4214","bębnić",bębn,bębni,bębnić,ビート,beat,4,present,0,0
"4215","błocić",błoc,błoci,błocić,泥だらけ,muddy,4,present,0,0
"4216","błogosławić",błogosław,błogosławi,błogosławić,祝福する,bless,4,present,0,0
"4217","capić",cap,capi,capić,スナッチ,snatch,4,present,0,0
"4218","ceregielić",ceregiel,ceregieli,ceregielić,アド,ado,4,present,0,0
"4219","certolić",certol,certoli,certolić,certolić,certolić,4,present,0,0
"4220","chachmęcić",chachmęc,chachmęci,chachmęcić,波,wave,4,present,0,0
"4221","chruścić",chruśc,chruści,chruścić,割れ目,crack,4,present,0,0
"4222","chrzanić",chrzan,chrzani,chrzanić,丸石,cobble,4,present,0,0
"4223","ciekawić",ciekaw,ciekawi,ciekawić,興味,interest,4,present,0,0
"4224","cielić",ciel,cieli,cielić,子牛,calve,4,present,0,0
"4225","cieśnić",cieśn,cieśni,cieśnić,むせさせる,choke,4,present,0,0
"4226","clić",cl,cli,clić,税関,customs,4,present,0,0
"4227","cwelić",cwel,cweli,cwelić,ティック,tick,4,present,0,0
"4228","cyganić",cygan,cygani,cyganić,浮気,cheat,4,present,0,0
"4229","czadzić",czadz,czadzi,czadzić,逃げる,run away,4,present,0,0
"4230","czcić",czc,czci,czcić,崇拝,worship,4,present,0,0
"4231","czernić",czern,czerni,czernić,黒,black,4,present,0,0
"4232","czerwienić",czerwien,czerwieni,czerwienić,赤くなった,redden,4,present,0,0
"4233","doskonalić",doskonal,doskonali,doskonalić,向上,improve,4,present,0,0
"4234","drwić",drw,drwi,drwić,モック,mock,4,present,0,0
"4235","dwoić",dwo,dwoi,dwoić,ダブル,double,4,present,0,0
"4236","dymić",dym,dymi,dymić,煙,smoke,4,present,0,0
"4237","dzierżawić",dzierżaw,dzierżawi,dzierżawić,リース,lease,4,present,0,0
"4238","dziurawić",dziuraw,dziurawi,dziurawić,穿刺,puncture,4,present,0,0
"4239","gaić",ga,gai,gaić,緑で飾る,adorn with verdure,4,present,0,0
"4240","gacić",gac,gaci,gacić,魅惑,fascine,4,present,0,0
"4241","gapić",gap,gapi,gapić,見詰める,stare,4,present,0,0
"4242","garbić",garb,garbi,garbić,しゃがむ,slouch,4,present,0,0
"4243","gawędzić",gawędz,gawędzi,gawędzić,チャット,chat,4,present,0,0
"4244","gnieździć",gnieźdz,gnieździ,gnieździć,ネスト,nest,4,present,0,0
"4245","gnoić",gno,gnoi,gnoić,腐敗,rot,4,present,0,0
