"9000","angielszczyć",angielszczy,angielszcz,angielszczyć,Anglicize,Anglicize,4y,present,0,0
"9001","awanturzyć",awanturzy,awanturz,awanturzyć,大騒ぎ,fuss,4y,present,0,0
"9002","babrać",babr,babr,babrać,塗抹標本,smear,1,present,0,0
"9003","baczyć",baczy,bacz,baczyć,見る,watch,4y,present,0,0
"9004","badać",bad,bad,badać,見る,explore,1,present,0,0
"9005","bajać",baj,baj,bajać,物語を語る,tell stories,1,present,0,0
"9006","bajczyć",bajczy,bajcz,bajczyć,プラトル,prattle,4y,present,0,0
"9007","bajdurzyć",bajdurzy,bajdurz,bajdurzyć,ドライブル,drivel,4y,present,0,0
"9008","bakać",bak,bak,bakać,リップ,lip,1,present,0,0
"9009","bandurzyć",bandurzy,bandurz,bandurzyć,包帯,bandage,4y,present,0,0
"9010","barłożyć",barłoży,barłoż,barłożyć,ごみ,litter,4y,present,0,0
"9011","batożyć",batoży,batoż,batożyć,ホイップ,whip,4y,present,0,0
"9012","bawić",baw,bawi,bawić,楽しませる,entertain,4,present,0,0
"9013","bazgrać",bazgr,bazgr,bazgrać,走り書き,scribble,1,present,0,0
"9014","bać",b,b,bać,恐れること,to be afraid,1,present,0,0
"9015","bałakać",bałak,bałak,bałakać,混乱,mess,1,present,0,0
"9016","bałamucić",bałamuc,bałamuci,bałamucić,浮気,flirt,4,present,0,0
"9017","bebeszyć",bebeszy,bebesz,bebeszyć,腸,gut,4y,present,0,0
"9018","bekać",bek,bek,bekać,げっぷ,burp,1,present,0,0
"9019","besztać",beszt,beszt,besztać,叱る,scold,1,present,0,0
"9020","bełkotać",bełkot,bełkot,bełkotać,スプラッタ,splatter,1,present,0,0
"9021","bełtać",bełt,bełt,bełtać,ぶら下がる,dangle,1,present,0,0
"9022","biadolić",biadol,biadoli,biadolić,気まぐれ,whimper,4,present,0,0
"9023","biegać",bieg,bieg,biegać,走る,run,1,present,0,0
"9024","biegnąć",biegnnie,biegnn,biegnąć,走る,to run,3,present,0,0
"9025","bierzmować",bierzmuje,bierzmuj,bierzmować,確認,confirm,denomitive,present,0,0
"9026","bieżeć",bieżej,bieżej,bieżeć,走る,to run,2,present,0,0
"9027","bimbać",bimb,bimb,bimbać,眩惑,daze,1,present,0,0
"9028","bić",b,bi,bić,打ち負かす,to beat,4,present,0,0
"9029","blaknąć",blaknnie,blaknn,blaknąć,フェード,fade,3,present,0,0
"9030","blednąć",blednnie,blednn,blednąć,フェード,fade,3,present,0,0
"9031","bluzgać",bluzg,bluzg,bluzgać,精神,spirt,1,present,0,0
"9032","bluźnić",bluźn,bluźni,bluźnić,冒涜,blaspheme,4,present,0,0
"9033","boczyć",boczy,bocz,boczyć,眉をひそめる,frown,4y,present,0,0
"9034","bojać",boj,boj,bojać,恐れること,to be afraid,1,present,0,0
"9035","bojować",bojuje,bojuj,bojować,喧嘩,fight,denomitive,present,0,0
"9036","boleć",bolej,bolej,boleć,傷つく,hurt,2,present,0,0
"9037","borykać",boryk,boryk,borykać,闘争,struggle,1,present,0,0
"9038","bradziażyć",bradziaży,bradziaż,bradziażyć,ウェイドする,to wade,4y,present,0,0
"9039","braknąć",braknnie,braknn,braknąć,ない,missing,3,present,0,0
"9040","brać",br,br,brać,取る,to take,1,present,0,0
"9041","brechać",brech,brech,brechać,fib,fib,1,present,0,0
"9042","bredzić",bredz,bredzi,bredzić,絶賛,rave,4,present,0,0
"9043","brnąć",brnnie,brnn,brnąć,ウェイド,wade,3,present,0,0
"9044","broczyć",broczy,brocz,broczyć,インブルー,imbrue,4y,present,0,0
"9045","brodzić",brodz,brodzi,brodzić,ウェイド,wade,4,present,0,0
"9046","broić",bro,broi,broić,ロンプ,romp,4,present,0,0
"9047","bronić",bron,broni,bronić,守る,defend,4,present,0,0
"9048","brudzić",brudz,brudzi,brudzić,染色,stain,4,present,0,0
"9049","brukać",bruk,bruk,brukać,土,soil,1,present,0,0
"9050","brusić",brus,brusi,brusić,シャープにする,sharpen,4,present,0,0
"9051","brykać",bryk,bryk,brykać,プランス,prance,1,present,0,0
"9052","bryzgać",bryzg,bryzg,bryzgać,スプラッシュ,splash,1,present,0,0
"9053","brzdąkać",brzdąk,brzdąk,brzdąkać,ストラム,strum,1,present,0,0
"9054","brzdękać",brzdęk,brzdęk,brzdękać,チャリンという音,clink,1,present,0,0
"9055","brzmieć",brzmiej,brzmiej,brzmieć,音,sound,2,present,0,0
"9056","brzydnąć",brzydnnie,brzydnn,brzydnąć,醜い,to be ugly,3,present,0,0
"9057","brzydzić",brzydz,brzydzi,brzydzić,嫌い,loathe,4,present,0,0
