"number","title","pageid","namespace","length","touched"
"1","naprzykrzyć","7807918","","441","20220306092723"
"2","obarczyć","7855756","","477","20220408102126"
"3","obnażyć","8217549","","607","20220227093827"
"4","odhaczyć","8078382","","406","20220228030855"
"5","odmóżdżyć","8617552","","499","20220331204820"
"6","odroczyć","8679153","","445","20220331204830"
"7","odwdzięczyć","8671037","","586","20220331053558"
"8","odśnieżyć","8561889","","395","20220331204833"
"9","odświeżyć","7824575","","493","20220325234205"
"10","perzyć","8425926","","589","20220408173229"
"11","poniżyć","8161480","","514","20220331210203"
"12","przechytrzyć","8454055","","494","20220331041627"
"13","przedobrzyć","7563869","","452","20220331210614"
"14","przeinaczyć","1552211","","357","20220307200713"
"15","przeistoczyć","8574791","","736","20220331210622"
"16","przejęzyczyć","7658903","","383","20220516002826"
"17","przeoczyć","8061836","","396","20220331210647"
"18","przepoczwarzyć","8121439","","492","20220331034211"
"19","przewyższyć","8054488","","399","20220227102935"
"20","przyuważyć","8660043","","349","20220223075658"
"21","rozcieńczyć","8096591","","401","20220308061625"
"22","rozdziewiczyć","8182544","","584","20220331035742"
"23","rozprawiczyć","8182564","","508","20220331035743"
"24","rozwydrzyć","8063537","","364","20220227104521"
"25","rozwścieczyć","8669360","","616","20220331211450"
"26","spieniężyć","8381763","","597","20220615210026"
"27","sprzymierzyć","7897368","","388","20220223061615"
"28","uciszyć","8104424","","499","20220223074508"
"29","ulepszyć","8078487","","383","20220331033613"
"30","upokorzyć","8081446","","517","20220331213807"
"31","uprzykrzyć","8143706","","404","20220331034330"
"32","wtajemniczyć","7459703","","600","20220420192228"
"33","wylaszczyć","4829456","","440","20220310075134"
"34","wynaturzyć","8471777","","655","20220331215504"
"35","wyposażyć","7883366","","591","20220331215514"
"36","wytyczyć","8174654","","379","20220330141255"
"37","wywłaszczyć","8695163","","412","20220331215548"
"38","zabezpieczyć","7807989","","460","20220223052122"
"39","zadaszyć","7882686","","305","20220311071939"
"40","zadłużyć","8081390","","431","20220331033703"
"41","zapeszyć","7930725","","636","20220331030925"
"42","zapowietrzyć","8518921","","482","20220331215835"
"43","zauważyć","3137613","","573","20220223050117"
"44","zawieruszyć","8511188","","467","20220331045453"
"45","zboczyć","8354752","","416","20220331215939"
"46","zeświecczyć","8570637","","793","20220331052052"
"47","zniesmaczyć","8179599","","394","20220331220218"
"48","zoczyć","8404904","","313","20220326005244"
"49","zrzeszyć","7698309","","590","20220311084622"
"50","zubożyć","8265154","","747","20220331220427"
"51","zwilczyć","8674476","","397","20220227164648"
"52","zwyciężyć","7905556","","842","20220331220517"
