"number","title","pageid","namespace","length","touched"
"1","angielszczyć","8527412","","420","20220330013044"
"2","awanturzyć","8691466","","635","20220331054115"
"3","bajczyć","8710925","","650","20220408170845"
"4","bajdurzyć","8273795","","573","20220408170739"
"5","bandurzyć","8728153","","409","20220404133636"
"6","barłożyć","8042589","","590","20220409115227"
"7","batożyć","8366557","","885","20220414124731"
"8","bebeszyć","8099068","","884","20220417111036"
"9","boczyć","8078092","","324","20220330004504"
"10","burzyć","1171357","","1572","20220415230156"
"11","byczyć","8367337","","504","20220331040742"
"12","chałturzyć","8715275","","690","20220408170942"
"13","chmurzyć","8037819","","492","20220223065936"
"14","ciemiężyć","8229005","","444","20220331195447"
"15","ciszyć","8837085","","881","20220620072654"
"16","cwaniaczyć","8542160","","572","20220331050228"
"17","czworzyć","8616802","","584","20220331195631"
"18","darzyć","7909196","","1101","20220429074512"
"19","dupczyć","4675477","","549","20220331200023"
"20","dziedziczyć","8118322","","751","20220618120439"
"21","dłużyć","8134798","","610","20220331195833"
"22","dżdżyć","8475895","","540","20220415232331"
"23","fajczyć","8456877","","749","20220610153031"
"24","gorszyć","7770079","","463","20220330001922"
"25","gospodarzyć","8171407","","496","20220330005852"
"26","gwiazdorzyć","8518976","","470","20220331045750"
"27","głuszyć","8104402","","342","20220305081027"
"28","handryczyć","8132270","","360","20220227081754"
"29","ikrzyć","8350334","","454","20220416102823"
"30","indyczyć","8063542","","289","20220330004323"
"31","iskrzyć","8349467","","628","20220601164710"
"32","jednoczyć","7897671","","378","20220223061646"
"33","jojczyć","7412389","","387","20220503143756"
"34","kaleczyć","6850354","","557","20220618130009"
"35","kielczyć","8825395","","544","20220611024348"
"36","kluczyć","8053239","","584","20220618132345"
"37","komuszyć","8557099","","3270","20220331050657"
"38","kotwiczyć","8712118","","688","20220618134525"
"39","kozaczyć","8405842","","397","20220330011743"
"40","kupczyć","8468278","","1264","20220411104250"
"41","leczyć","3517852","","1105","20220528181007"
"42","lżyć","5841186","","641","20220331015218"
"43","mataczyć","7889664","","339","20220305185358"
"44","miażdżyć","6874147","","591","20220615160030"
"45","mniejszyć","8476349","","593","20220330012417"
"46","mroczyć","8276301","","771","20220618143002"
"47","mszyć","8836143","","698","20220619200207"
"48","mączyć","8816544","","623","20220604143435"
"49","niańczyć","7882654","","329","20220306093857"
"50","niemczyć","8567193","","755","20220331204338"
"51","niweczyć","8420758","","481","20220331041326"
"52","panoszyć","8161871","","576","20220331034807"
"53","partaczyć","8063814","","587","20220525214725"
"54","parzyć","7855794","","1316","20220330002643"
"55","peszyć","8035526","","395","20220330003848"
"56","pieprzyć","67755","","1783","20220619163716"
"57","pierniczyć","8071203","","744","20220331205729"
"58","pindrzyć","8544889","","414","20220401121756"
"59","piwniczyć","8686688","","486","20220331205844"
"60","piętrzyć","7844325","","559","20220331205739"
"61","polszczyć","7501631","","366","20220330000905"
"62","pośredniczyć","8480496","","683","20220331210258"
"63","przewodniczyć","8465098","","726","20220620092717"
"64","przykrzyć","8709017","","531","20220408170830"
"65","prószyć","6093932","","584","20220615161955"
"66","psioczyć","8166144","","377","20220330005742"
"67","pstrzyć","8735582","","3200","20220606175939"
"68","pustoszyć","7923530","","575","20220331030909"
"69","puszyć","8761307","","934","20220428183040"
"70","pyszczyć","8370398","","415","20220331040758"
"71","płaszczyć","8049569","","569","20220331205911"
"72","płużyć","8590877","","1239","20220416130034"
"73","ruszczyć","8461122","","562","20220331042013"
"74","skrzyć","8349610","","478","20220601164727"
"75","sobaczyć","8191486","","380","20220330010110"
"76","sporzyć","7112161","","991","20220401092502"
"77","srebrzyć","8466050","","477","20220331042428"
"78","srożyć","8425453","","661","20220401092637"
"79","starzyć","8776302","","732","20220507082510"
"80","straszyć","7674904","","1239","20220416133811"
"81","tańczyć","1067903","","461","20220620135151"
"82","tchórzyć","8165559","","296","20220330005724"
"83","towarzyszyć","6645346","","896","20220330225054"
"84","troszczyć","7882667","","442","20220223060433"
"85","trwożyć","8290759","","669","20220330230330"
"86","tuczyć","6070251","","612","20220416140008"
"87","tłumaczyć","1117285","","1190","20220604120020"
"88","ubożyć","8733689","","720","20220409074806"
"89","uczestniczyć","1561183","","597","20220331011738"
"90","walczyć","942135","","775","20220330232248"
"91","wałaszyć","8197560","","402","20220331035840"
"92","ważyć","1163507","","1361","20220330232535"
"93","wdzięczyć","8049387","","351","20220223070715"
"94","wichrzyć","8510694","","656","20220331214934"
"95","wieszczyć","8289869","","507","20220331040259"
"96","wietrzyć","814305","","910","20220416140624"
"97","wieńczyć","8390589","","673","20220620143728"
"98","złorzeczyć","8191499","","535","20220525181551"
"99","łajdaczyć","8386187","","503","20220331041021"
"100","śmieszyć","8351465","","583","20220416135319"
"101","śnieżyć","8081331","","452","20220330004600"
"102","świadczyć","7459475","","4364","20220524010053"
"103","świntuszyć","8081318","","363","20220330004559"
"104","żarzyć","7677702","","721","20220416142724"
